Measurement: #7
Date: 2025-06-13T17:55:19.4106379+02:00
MLIC serial number: 26688
Comments: 
Calibration info: [2023-12-05 19:42:27]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: 30 [cm]
Snout distance: 42 [cm]
FieldSize: 10 [cm]
SSD: 228 [cm]
Beam delivery mode: PencilBeamScanning
Sampling time: 1000 [ms]
Number of samples: 38
Measurement mode: MovieMode
Measurement time: 60 [s]
Build-up thickness: 0 [cm]
Build-up density: 0 [g/cm^3]
Bragg Peak type: Unknown
Channel count (active): 180
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 

Curves: 18
Curve depth: [mm]
2.261;4.098;5.935;7.772;9.609;11.446;13.283;15.120;16.957;18.793;20.630;22.467;24.304;26.141;27.978;29.815;31.652;33.489;35.326;37.162;38.999;40.836;42.673;44.510;46.347;48.184;50.021;51.858;53.695;55.531;57.368;59.205;61.042;62.879;64.716;66.553;68.390;70.227;72.064;73.900;75.737;77.574;79.411;81.248;83.085;84.922;86.759;88.596;90.433;92.269;94.106;95.943;97.780;99.617;101.454;103.291;105.128;106.965;108.802;110.638;112.475;114.312;116.149;117.986;119.823;121.660;123.497;125.334;127.171;129.007;130.844;132.681;134.518;136.355;138.192;140.029;141.866;143.703;145.540;147.376;149.213;151.050;152.887;154.724;156.561;158.398;160.235;162.072;163.909;165.745;167.582;169.419;171.256;173.093;174.930;176.767;178.604;180.441;182.278;184.114;185.951;187.788;189.625;191.462;193.299;195.136;196.973;198.810;200.647;202.483;204.320;206.157;207.994;209.831;211.668;213.505;215.342;217.179;219.016;220.852;222.689;224.526;226.363;228.200;230.037;231.874;233.711;235.548;237.385;239.221;241.058;242.895;244.732;246.569;248.406;250.243;252.080;253.917;255.754;257.590;259.427;261.264;263.101;264.938;266.775;268.612;270.449;272.286;274.123;275.959;277.796;279.633;281.470;283.307;285.144;286.981;288.818;290.655;292.492;294.328;296.165;298.002;299.839;301.676;303.513;305.350;307.187;309.024;310.861;312.697;314.534;316.371;318.208;320.045;321.882;323.719;325.556;327.393;329.230;331.066
Curve gains: [counts]
4895.910;4811.445;4865.791;4895.268;4958.726;4973.208;4954.535;5000.817;5003.494;5056.534;5055.281;5081.479;5103.864;5080.769;5150.898;5207.344;5175.268;5252.841;5227.903;5209.559;5149.105;5360.327;5298.541;5411.952;5306.055;5318.922;5358.222;5309.493;5431.871;5484.104;5464.827;5371.836;5530.998;5480.972;5445.543;5516.016;5413.823;5517.437;5470.820;5539.320;5654.195;5525.047;5466.364;5669.100;5444.032;5610.873;5671.191;5675.670;5612.778;5638.633;5686.265;5698.982;5614.046;5705.496;5802.663;5665.110;5835.384;5706.916;5720.870;5691.145;5767.047;5826.223;5708.094;5830.486;5810.685;5806.536;5784.484;5822.068;5851.256;5780.982;5844.532;5898.774;5860.735;5923.692;5855.232;5947.532;5918.461;5896.507;5917.198;5890.945;6025.622;6071.581;5982.536;5990.404;6068.490;5973.618;6075.392;6060.409;6046.543;6075.579;6077.071;6081.251;6170.126;6161.116;6189.134;6232.919;6245.649;6216.603;6146.182;6331.951;6307.844;6289.804;6251.517;6412.212;6367.160;6391.530;6500.381;6487.879;6436.364;6482.520;6438.689;6553.885;6682.553;6484.711;6629.043;6620.903;6714.122;6683.483;6798.636;6748.028;6839.257;6829.610;6931.851;6946.914;6998.081;7064.736;7099.851;7322.342;7191.127;7100.059;7410.598;7281.688;7309.739;7441.147;7559.918;7620.806;7683.311;7807.356;7859.356;8039.489;8099.844;8023.026;8322.408;8295.192;8623.727;8676.269;8797.982;8856.184;9170.248;9234.129;9626.184;9920.690;10235.451;10422.211;10818.129;11247.760;11723.792;12540.878;12987.115;14080.933;15287.609;16593.580;17800.996;18807.963;17467.766;15326.772;10825.064;6658.393;3228.693;1288.945;405.028;111.207;35.486;17.446;17.829;39.230;16.471;18.074;14.911;16.217
4880.135;4789.063;4842.377;4871.985;4938.523;4946.187;4935.898;4975.510;4981.063;5034.632;5035.730;5055.727;5087.024;5063.730;5132.675;5178.830;5155.674;5231.225;5214.858;5187.853;5130.933;5343.290;5280.372;5389.325;5293.215;5303.913;5347.670;5298.855;5427.282;5470.143;5457.440;5360.929;5525.136;5475.896;5446.671;5512.125;5414.915;5521.588;5473.321;5543.126;5662.584;5533.495;5472.245;5682.849;5456.126;5624.794;5683.084;5692.471;5636.900;5660.808;5715.994;5724.623;5645.131;5735.047;5827.898;5700.511;5870.835;5744.075;5767.504;5737.537;5816.327;5875.601;5760.930;5890.507;5869.791;5863.746;5855.308;5879.831;5928.033;5858.041;5923.098;5980.016;5948.042;6008.056;5953.601;6040.679;6019.115;6002.366;6026.810;6001.122;6144.279;6188.406;6112.007;6119.489;6207.031;6108.596;6217.152;6210.481;6209.860;6228.716;6238.035;6253.538;6346.440;6352.034;6378.180;6435.169;6448.064;6439.515;6370.410;6569.041;6546.939;6538.632;6511.670;6687.871;6646.066;6688.611;6802.812;6806.563;6763.392;6830.351;6790.618;6928.357;7069.461;6883.289;7048.944;7063.919;7174.444;7172.088;7311.466;7283.077;7398.652;7421.439;7551.229;7607.307;7680.555;7795.860;7870.309;8155.797;8050.473;8003.535;8393.318;8314.941;8391.264;8636.859;8838.084;9016.828;9177.993;9457.295;9646.596;10031.566;10288.692;10419.845;11042.493;11324.061;12172.078;12737.671;13548.945;14461.062;15982.881;17150.601;18522.780;18549.872;16850.700;13082.763;8768.771;4774.214;2104.709;759.110;213.603;60.857;23.255;18.072;16.903;16.068;15.333;14.872;15.549;15.405;13.579;17.152;13.949;13.726;13.074;11.173;13.450;28.383;11.697;13.006;10.996;12.217
4867.318;4773.396;4828.870;4857.433;4923.636;4931.551;4924.553;4963.362;4968.246;5018.703;5021.066;5046.363;5078.604;5051.876;5119.812;5166.766;5147.837;5219.849;5206.557;5177.001;5125.885;5335.718;5277.776;5376.126;5290.252;5305.789;5349.293;5302.401;5431.871;5473.951;5462.980;5367.473;5530.998;5485.032;5455.701;5530.024;5428.029;5537.499;5490.831;5565.962;5685.233;5558.839;5496.748;5713.784;5481.523;5657.854;5721.145;5729.433;5675.806;5701.125;5757.614;5771.155;5694.701;5784.298;5864.604;5757.826;5927.336;5808.423;5832.970;5811.102;5890.248;5951.120;5841.009;5978.484;5956.948;5959.443;5949.429;5976.921;6031.732;5971.108;6035.186;6098.367;6071.066;6134.603;6086.808;6180.870;6168.161;6147.681;6181.921;6164.315;6316.232;6364.860;6294.789;6307.397;6406.301;6311.063;6431.659;6428.572;6439.411;6469.361;6484.448;6516.030;6611.487;6634.718;6668.432;6745.351;6760.565;6775.270;6701.088;6942.970;6919.839;6937.772;6911.906;7124.568;7090.360;7165.628;7299.976;7336.126;7302.576;7411.954;7389.737;7572.280;7747.861;7586.506;7795.808;7864.601;8021.856;8068.895;8264.853;8299.815;8485.087;8593.333;8807.258;8972.729;9155.433;9415.922;9632.688;10157.297;10199.851;10368.043;11139.331;11365.902;11897.592;12744.444;13735.294;14937.381;16273.970;17832.910;18533.278;18158.120;15534.902;11292.081;7126.160;3508.168;1413.842;441.939;114.170;31.783;17.450;13.731;14.031;14.181;12.306;12.728;11.727;11.848;11.322;10.402;10.647;10.661;9.081;9.175;9.064;9.168;8.202;9.034;7.920;9.134;7.855;7.391;7.105;7.003;7.738;6.469;6.880;9.401;5.968;6.672;6.102;7.217
