Measurement: #3
Date: 2025-06-13T17:47:57.8978843+02:00
MLIC serial number: 26688
Comments: 
Calibration info: [2023-12-05 19:42:27]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: 30 [cm]
Snout distance: 42 [cm]
FieldSize: 10 [cm]
SSD: 228 [cm]
Beam delivery mode: PencilBeamScanning
Sampling time: 1000 [ms]
Number of samples: 38
Measurement mode: MovieMode
Measurement time: 60 [s]
Build-up thickness: 0 [cm]
Build-up density: 0 [g/cm^3]
Bragg Peak type: Unknown
Channel count (active): 180
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 

Curves: 18
Curve depth: [mm]
2.261;4.098;5.935;7.772;9.609;11.446;13.283;15.120;16.957;18.793;20.630;22.467;24.304;26.141;27.978;29.815;31.652;33.489;35.326;37.162;38.999;40.836;42.673;44.510;46.347;48.184;50.021;51.858;53.695;55.531;57.368;59.205;61.042;62.879;64.716;66.553;68.390;70.227;72.064;73.900;75.737;77.574;79.411;81.248;83.085;84.922;86.759;88.596;90.433;92.269;94.106;95.943;97.780;99.617;101.454;103.291;105.128;106.965;108.802;110.638;112.475;114.312;116.149;117.986;119.823;121.660;123.497;125.334;127.171;129.007;130.844;132.681;134.518;136.355;138.192;140.029;141.866;143.703;145.540;147.376;149.213;151.050;152.887;154.724;156.561;158.398;160.235;162.072;163.909;165.745;167.582;169.419;171.256;173.093;174.930;176.767;178.604;180.441;182.278;184.114;185.951;187.788;189.625;191.462;193.299;195.136;196.973;198.810;200.647;202.483;204.320;206.157;207.994;209.831;211.668;213.505;215.342;217.179;219.016;220.852;222.689;224.526;226.363;228.200;230.037;231.874;233.711;235.548;237.385;239.221;241.058;242.895;244.732;246.569;248.406;250.243;252.080;253.917;255.754;257.590;259.427;261.264;263.101;264.938;266.775;268.612;270.449;272.286;274.123;275.959;277.796;279.633;281.470;283.307;285.144;286.981;288.818;290.655;292.492;294.328;296.165;298.002;299.839;301.676;303.513;305.350;307.187;309.024;310.861;312.697;314.534;316.371;318.208;320.045;321.882;323.719;325.556;327.393;329.230;331.066
Curve gains: [counts]
4858.133;4782.181;4839.001;4867.345;4935.581;4950.972;4936.087;4980.791;4987.704;5040.804;5037.896;5066.496;5091.000;5067.582;5133.979;5190.053;5157.425;5237.198;5212.763;5190.961;5134.113;5347.218;5282.232;5400.953;5291.437;5309.713;5347.034;5299.919;5414.662;5475.389;5450.253;5358.948;5517.107;5471.954;5436.287;5506.794;5404.170;5509.262;5457.631;5528.134;5641.710;5514.847;5454.749;5661.466;5436.755;5600.564;5659.574;5664.600;5602.079;5630.771;5677.479;5687.761;5601.542;5691.853;5793.563;5652.579;5823.382;5693.457;5709.316;5680.000;5754.382;5816.372;5698.339;5819.934;5794.823;5794.228;5773.472;5803.838;5838.493;5776.781;5833.184;5885.903;5847.044;5910.158;5843.141;5932.666;5907.992;5881.334;5906.064;5881.957;6011.678;6056.004;5971.255;5974.214;6053.466;5962.427;6056.879;6047.597;6031.224;6058.381;6065.280;6064.294;6155.260;6149.742;6174.908;6216.502;6226.907;6207.492;6130.498;6316.669;6290.479;6271.658;6234.132;6388.657;6343.771;6375.723;6477.644;6466.271;6416.838;6464.735;6415.768;6532.827;6655.396;6463.440;6604.502;6594.972;6690.699;6660.083;6768.045;6722.874;6812.192;6805.267;6896.214;6920.640;6961.530;7034.016;7064.961;7283.121;7148.649;7066.845;7364.614;7239.029;7275.846;7397.684;7505.880;7569.761;7628.542;7752.123;7796.386;7973.637;8030.737;7958.262;8242.536;8212.214;8531.235;8579.849;8696.430;8740.298;9043.964;9098.007;9475.341;9746.657;10040.081;10204.377;10566.799;10958.596;11377.771;12121.609;12481.072;13441.430;14496.603;15713.998;17030.913;18563.637;18178.406;17215.726;13425.647;9269.605;5113.971;2337.802;841.179;249.100;68.660;23.771;21.187;49.805;17.489;20.713;16.950;17.233
4846.302;4760.919;4819.189;4849.883;4916.440;4923.951;4917.449;4958.520;4962.068;5015.916;5018.345;5040.744;5073.224;5050.543;5115.756;5163.732;5143.317;5221.271;5199.718;5172.215;5120.989;5333.020;5272.715;5365.127;5282.548;5293.766;5342.975;5287.508;5420.016;5462.698;5443.789;5353.494;5513.590;5463.832;5436.287;5506.794;5406.355;5516.180;5466.803;5533.209;5656.810;5527.050;5466.511;5676.075;5447.640;5617.964;5672.658;5680.281;5625.422;5649.922;5707.207;5716.250;5634.308;5725.344;5805.034;5691.351;5858.834;5738.773;5756.847;5727.718;5803.662;5865.750;5748.698;5881.600;5857.937;5856.638;5838.705;5867.746;5913.276;5848.799;5907.560;5970.153;5936.335;5994.523;5939.460;6029.577;6010.582;5987.193;6015.676;5990.477;6134.358;6176.480;6100.726;6112.286;6195.802;6100.837;6205.168;6191.192;6196.356;6215.165;6230.218;6242.269;6331.574;6337.495;6365.863;6420.697;6434.057;6424.855;6352.460;6555.223;6532.864;6526.580;6488.031;6665.263;6623.656;6669.993;6778.988;6785.900;6738.693;6809.738;6766.650;6901.996;7043.353;6855.308;7018.805;7036.363;7144.047;7136.319;7272.954;7247.107;7359.063;7384.427;7505.721;7557.702;7632.095;7744.180;7812.107;8098.436;7990.768;7942.390;8319.314;8240.607;8288.337;8551.236;8735.127;8905.177;9054.404;9326.743;9495.840;9868.394;10093.700;10206.393;10785.944;11023.156;11795.429;12284.726;12985.423;13763.752;15131.461;16292.828;17942.603;18744.607;18188.803;15452.048;11545.883;7127.314;3602.766;1493.803;470.949;130.531;35.776;15.978;14.078;13.259;12.793;12.099;12.388;11.809;10.812;10.366;11.113;10.439;8.894;9.657;9.143;0.994;7.941;8.044;7.162;9.233
4834.471;4753.085;4808.383;4840.182;4907.934;4913.818;4912.587;4948.397;4955.659;5008.947;5009.547;5030.209;5065.739;5043.135;5111.468;5158.248;5141.750;5215.582;5199.718;5169.256;5117.960;5330.180;5271.850;5370.784;5281.561;5299.395;5344.599;5297.259;5420.781;5470.312;5456.717;5360.038;5528.829;5479.060;5453.218;5520.024;5427.118;5532.783;5484.313;5558.583;5676.943;5555.209;5491.994;5705.291;5482.712;5651.895;5713.096;5721.723;5669.776;5699.311;5751.800;5765.631;5689.758;5777.550;5862.386;5753.724;5925.305;5798.590;5826.797;5803.271;5882.511;5941.269;5832.079;5966.288;5950.103;5950.254;5939.349;5970.981;6018.969;5957.545;6024.885;6088.505;6062.335;6124.233;6075.742;6167.886;6152.853;6137.319;6171.822;6149.528;6302.288;6352.935;6278.748;6296.109;6393.174;6299.872;6416.876;6411.442;6423.185;6453.986;6467.689;6495.009;6590.859;6613.851;6645.613;6721.155;6740.639;6755.060;6680.873;6917.444;6896.990;6909.470;6887.016;7096.276;7061.099;7132.015;7265.272;7293.714;7261.318;7370.604;7342.726;7527.884;7699.734;7537.053;7739.915;7801.278;7955.713;8000.965;8192.681;8224.185;8399.578;8497.500;8709.930;8862.258;9034.603;9286.568;9482.404;9983.031;10006.380;10151.126;10871.184;11054.443;11530.037;12277.989;13132.727;14169.517;15385.835;16990.367;18146.174;18750.652;17326.755;13912.090;9893.359;5582.352;2621.731;954.071;277.182;71.015;25.273;19.048;16.170;17.583;15.254;16.325;14.766;15.221;13.525;14.623;14.299;15.981;11.857;13.754;11.138;12.273;11.010;12.099;12.388;13.064;9.858;13.155;10.135;10.439;11.028;8.873;10.238;25.400;9.851;11.845;9.120;10.233
