Measurement: #8
Date: 2025-06-13T17:56:21.8150405+02:00
MLIC serial number: 26688
Comments: 
Calibration info: [2023-12-05 19:42:27]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: 30 [cm]
Snout distance: 42 [cm]
FieldSize: 10 [cm]
SSD: 228 [cm]
Beam delivery mode: PencilBeamScanning
Sampling time: 1000 [ms]
Number of samples: 39
Measurement mode: MovieMode
Measurement time: 60 [s]
Build-up thickness: 0 [cm]
Build-up density: 0 [g/cm^3]
Bragg Peak type: Unknown
Channel count (active): 180
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 

Curves: 16
Curve depth: [mm]
2.261;4.098;5.935;7.772;9.609;11.446;13.283;15.120;16.957;18.793;20.630;22.467;24.304;26.141;27.978;29.815;31.652;33.489;35.326;37.162;38.999;40.836;42.673;44.510;46.347;48.184;50.021;51.858;53.695;55.531;57.368;59.205;61.042;62.879;64.716;66.553;68.390;70.227;72.064;73.900;75.737;77.574;79.411;81.248;83.085;84.922;86.759;88.596;90.433;92.269;94.106;95.943;97.780;99.617;101.454;103.291;105.128;106.965;108.802;110.638;112.475;114.312;116.149;117.986;119.823;121.660;123.497;125.334;127.171;129.007;130.844;132.681;134.518;136.355;138.192;140.029;141.866;143.703;145.540;147.376;149.213;151.050;152.887;154.724;156.561;158.398;160.235;162.072;163.909;165.745;167.582;169.419;171.256;173.093;174.930;176.767;178.604;180.441;182.278;184.114;185.951;187.788;189.625;191.462;193.299;195.136;196.973;198.810;200.647;202.483;204.320;206.157;207.994;209.831;211.668;213.505;215.342;217.179;219.016;220.852;222.689;224.526;226.363;228.200;230.037;231.874;233.711;235.548;237.385;239.221;241.058;242.895;244.732;246.569;248.406;250.243;252.080;253.917;255.754;257.590;259.427;261.264;263.101;264.938;266.775;268.612;270.449;272.286;274.123;275.959;277.796;279.633;281.470;283.307;285.144;286.981;288.818;290.655;292.492;294.328;296.165;298.002;299.839;301.676;303.513;305.350;307.187;309.024;310.861;312.697;314.534;316.371;318.208;320.045;321.882;323.719;325.556;327.393;329.230;331.066
Curve gains: [counts]
4890.980;4806.968;4855.885;4884.597;4956.600;4966.453;4951.294;4989.682;5001.358;5052.552;5047.460;5076.797;5101.058;5078.547;5141.250;5197.474;5168.214;5247.153;5221.974;5201.666;5143.048;5353.702;5290.754;5408.181;5297.166;5312.356;5348.481;5302.401;5423.458;5480.296;5456.517;5363.111;5522.792;5475.896;5441.028;5510.568;5407.266;5513.978;5461.648;5532.977;5647.484;5516.600;5456.563;5663.944;5440.403;5603.913;5662.865;5668.949;5606.553;5635.609;5679.328;5693.285;5605.644;5693.675;5804.957;5657.524;5829.845;5695.134;5714.593;5681.867;5758.176;5820.414;5701.490;5828.020;5801.669;5801.335;5777.029;5812.236;5844.276;5776.661;5835.104;5891.754;5855.774;5914.201;5848.060;5943.768;5910.719;5887.846;5909.959;5883.490;6023.611;6061.845;5974.920;5983.051;6062.797;5965.611;6063.267;6055.011;6039.284;6063.729;6071.110;6071.499;6163.211;6155.842;6180.541;6223.195;6233.812;6211.054;6140.520;6322.438;6303.457;6285.742;6245.263;6401.792;6356.395;6384.970;6486.238;6479.368;6429.119;6479.692;6428.215;6544.337;6666.825;6479.343;6621.205;6612.774;6707.147;6677.298;6787.746;6741.538;6830.908;6829.610;6918.279;6938.798;6984.340;7058.572;7090.526;7307.225;7177.953;7095.762;7397.588;7273.984;7309.739;7432.853;7550.550;7611.402;7673.634;7800.295;7851.478;8029.334;8088.134;8020.931;8310.446;8283.611;8614.094;8666.609;8786.789;8842.083;9155.880;9221.740;9613.353;9903.588;10220.553;10407.524;10801.811;11235.177;11705.624;12523.655;12969.818;14065.488;15268.119;16573.561;17777.478;18782.332;17435.673;15296.605;10798.906;6638.327;3220.107;1284.761;404.050;112.327;36.554;18.230;20.019;47.365;16.471;20.607;15.890;16.217
4885.065;4794.659;4848.681;4874.895;4941.713;4951.816;4939.949;4978.547;4985.336;5037.619;5038.662;5063.921;5090.766;5068.916;5138.034;5184.313;5161.160;5236.914;5213.672;5184.894;5136.990;5348.022;5288.158;5389.325;5297.166;5308.603;5354.163;5304.174;5429.577;5472.682;5462.057;5363.111;5528.653;5476.911;5450.058;5519.129;5419.286;5526.430;5479.991;5544.395;5665.100;5538.188;5476.165;5683.708;5459.754;5628.274;5691.410;5694.711;5637.678;5663.832;5717.976;5729.371;5645.972;5737.017;5823.310;5703.039;5878.591;5749.513;5769.297;5740.188;5819.284;5879.958;5766.709;5892.974;5872.797;5866.867;5854.376;5887.205;5929.030;5864.523;5926.241;5984.028;5952.011;6014.384;5958.724;6047.265;6022.987;6004.290;6031.980;6003.607;6146.290;6192.057;6115.815;6127.659;6211.775;6115.460;6219.950;6213.720;6210.767;6232.362;6246.977;6256.788;6353.354;6353.089;6382.954;6442.948;6453.983;6445.065;6371.542;6578.554;6551.326;6548.788;6515.423;6694.502;6649.002;6690.485;6808.252;6809.400;6770.637;6836.949;6795.856;6933.661;7074.704;6891.342;7054.543;7066.358;7182.291;7180.747;7313.446;7293.894;7404.913;7427.773;7556.164;7612.379;7688.800;7803.258;7874.971;8165.875;8058.580;8011.055;8401.324;8325.213;8397.017;8645.153;8849.534;9024.142;9184.445;9472.594;9657.851;10049.337;10296.499;10428.221;11056.296;11334.588;12182.915;12749.965;13561.156;14476.249;16003.955;17174.346;18541.532;18566.974;16864.667;13090.671;8772.611;4772.117;2101.681;757.083;211.297;59.570;22.369;16.960;15.923;16.068;14.442;13.899;14.459;14.150;12.625;14.363;12.971;11.485;12.007;9.605;11.260;17.536;9.787;10.473;10.017;11.217
4862.388;4773.396;4826.168;4853.553;4920.446;4930.425;4918.881;4958.301;4967.177;5020.694;5022.044;5041.681;5071.119;5049.654;5118.740;5165.669;5143.918;5219.849;5205.371;5175.027;5124.875;5339.504;5276.046;5376.126;5284.326;5304.851;5350.916;5298.855;5423.458;5471.412;5463.904;5368.564;5526.309;5483.002;5454.572;5527.689;5425.843;5535.423;5488.330;5559.619;5685.233;5556.961;5492.827;5708.628;5483.942;5657.854;5717.576;5726.073;5671.137;5700.117;5754.641;5764.507;5690.500;5781.343;5866.898;5756.983;5928.444;5805.704;5828.486;5805.800;5885.320;5946.763;5840.183;5971.084;5953.943;5954.242;5947.566;5973.234;6025.749;5968.228;6030.996;6096.361;6070.074;6135.658;6081.685;6178.048;6162.354;6147.681;6178.819;6161.002;6308.187;6361.210;6290.029;6305.763;6403.454;6311.063;6430.726;6423.174;6433.060;6465.715;6482.461;6511.154;6610.334;6628.389;6667.477;6741.461;6758.197;6776.195;6702.220;6940.775;6919.839;6934.725;6910.655;7125.516;7085.467;7162.817;7301.063;7329.507;7298.437;7409.126;7383.452;7568.036;7742.619;7582.480;7794.688;7861.349;8015.753;8063.947;8262.873;8299.094;8481.956;8588.808;8806.024;8967.657;9150.853;9414.689;9628.026;10152.258;10194.784;10365.894;11135.328;11357.342;11894.716;12740.297;13728.008;14926.932;16269.669;17829.380;18529.901;18148.811;15527.095;11292.081;7127.080;3508.168;1413.842;442.817;116.205;33.953;17.450;15.796;16.005;16.318;14.168;13.858;12.687;12.897;12.331;12.428;12.954;13.235;10.852;11.400;10.044;10.154;9.985;10.007;10.100;10.388;9.763;10.180;9.060;10.364;8.805;8.037;7.975;17.536;8.832;10.473;8.059;9.217
