Measurement: #6
Date: 2025-06-13T17:54:17.0297504+02:00
MLIC serial number: 26688
Comments: 
Calibration info: [2023-12-05 19:42:27]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: 30 [cm]
Snout distance: 42 [cm]
FieldSize: 10 [cm]
SSD: 228 [cm]
Beam delivery mode: PencilBeamScanning
Sampling time: 1000 [ms]
Number of samples: 38
Measurement mode: MovieMode
Measurement time: 60 [s]
Build-up thickness: 0 [cm]
Build-up density: 0 [g/cm^3]
Bragg Peak type: Unknown
Channel count (active): 180
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 

Curves: 18
Curve depth: [mm]
2.261;4.098;5.935;7.772;9.609;11.446;13.283;15.120;16.957;18.793;20.630;22.467;24.304;26.141;27.978;29.815;31.652;33.489;35.326;37.162;38.999;40.836;42.673;44.510;46.347;48.184;50.021;51.858;53.695;55.531;57.368;59.205;61.042;62.879;64.716;66.553;68.390;70.227;72.064;73.900;75.737;77.574;79.411;81.248;83.085;84.922;86.759;88.596;90.433;92.269;94.106;95.943;97.780;99.617;101.454;103.291;105.128;106.965;108.802;110.638;112.475;114.312;116.149;117.986;119.823;121.660;123.497;125.334;127.171;129.007;130.844;132.681;134.518;136.355;138.192;140.029;141.866;143.703;145.540;147.376;149.213;151.050;152.887;154.724;156.561;158.398;160.235;162.072;163.909;165.745;167.582;169.419;171.256;173.093;174.930;176.767;178.604;180.441;182.278;184.114;185.951;187.788;189.625;191.462;193.299;195.136;196.973;198.810;200.647;202.483;204.320;206.157;207.994;209.831;211.668;213.505;215.342;217.179;219.016;220.852;222.689;224.526;226.363;228.200;230.037;231.874;233.711;235.548;237.385;239.221;241.058;242.895;244.732;246.569;248.406;250.243;252.080;253.917;255.754;257.590;259.427;261.264;263.101;264.938;266.775;268.612;270.449;272.286;274.123;275.959;277.796;279.633;281.470;283.307;285.144;286.981;288.818;290.655;292.492;294.328;296.165;298.002;299.839;301.676;303.513;305.350;307.187;309.024;310.861;312.697;314.534;316.371;318.208;320.045;321.882;323.719;325.556;327.393;329.230;331.066
Curve gains: [counts]
4889.994;4802.492;4856.786;4883.626;4952.346;4960.823;4945.622;4987.657;4994.949;5048.570;5045.505;5068.603;5096.380;5073.361;5140.178;5190.893;5161.944;5242.602;5220.788;5194.760;5138.000;5350.862;5283.833;5402.524;5293.215;5308.603;5349.293;5296.196;5420.399;5475.220;5450.976;5360.929;5519.275;5470.820;5437.642;5505.121;5406.173;5507.752;5458.312;5531.708;5642.451;5513.784;5452.642;5660.507;5435.566;5597.823;5659.297;5666.709;5598.771;5629.562;5677.347;5687.587;5606.484;5691.705;5804.957;5656.681;5823.197;5694.228;5712.799;5679.879;5756.205;5814.605;5696.536;5818.153;5799.665;5795.094;5774.233;5806.091;5840.288;5772.340;5833.009;5889.748;5849.821;5912.092;5848.060;5937.182;5904.912;5884.959;5906.857;5877.691;6017.577;6058.194;5972.064;5982.234;6058.053;5961.036;6060.470;6048.533;6035.655;6060.082;6068.129;6068.249;6157.449;6151.623;6175.767;6218.334;6230.261;6209.204;6135.990;6320.974;6297.973;6277.617;6242.762;6395.161;6350.523;6380.284;6484.062;6471.803;6423.945;6474.979;6420.883;6539.033;6662.631;6471.291;6613.367;6606.271;6700.173;6673.587;6785.766;6733.606;6826.733;6819.655;6919.512;6933.726;6984.340;7052.407;7083.533;7302.186;7174.913;7089.316;7391.584;7265.424;7309.739;7428.706;7544.305;7605.132;7667.182;7793.234;7848.101;8023.411;8081.303;8011.508;8302.164;8277.294;8604.462;8659.584;8782.719;8832.320;9144.385;9212.448;9605.458;9891.830;10210.312;10395.097;10788.373;11220.498;11689.474;12502.379;12946.755;14038.460;15235.340;16540.197;17750.041;18771.489;17456.177;15347.207;10869.749;6701.033;3263.039;1307.074;413.827;114.568;36.554;18.230;20.019;55.500;18.381;21.874;16.869;17.217
4875.205;4785.706;4841.477;4866.164;4938.523;4943.935;4931.846;4972.473;4979.995;5030.650;5029.864;5056.898;5083.282;5060.767;5127.315;5176.636;5155.674;5230.088;5210.115;5184.894;5129.923;5342.343;5279.507;5383.668;5290.252;5304.851;5346.046;5297.082;5422.693;5467.605;5455.593;5359.838;5519.275;5471.835;5444.414;5514.459;5414.915;5518.129;5469.986;5539.320;5659.228;5530.679;5467.344;5683.708;5451.288;5619.574;5680.706;5687.990;5630.675;5657.784;5709.057;5719.874;5640.931;5730.121;5818.722;5697.982;5866.404;5742.262;5763.020;5732.236;5813.371;5875.601;5758.453;5885.574;5866.786;5860.626;5845.989;5872.457;5922.050;5854.440;5916.813;5975.001;5943.082;6002.784;5949.502;6036.915;6019.115;5997.554;6022.673;5996.980;6142.268;6183.538;6107.247;6119.489;6204.184;6109.740;6214.354;6201.844;6208.045;6228.716;6239.028;6248.662;6342.982;6347.815;6377.225;6433.224;6444.513;6440.440;6361.350;6565.382;6544.745;6539.647;6509.169;6686.924;6640.195;6686.737;6798.461;6802.780;6760.288;6826.580;6787.476;6925.175;7065.267;6880.605;7045.585;7059.855;7171.829;7169.614;7305.526;7279.472;7392.390;7416.914;7542.592;7603.250;7677.807;7793.394;7864.481;8151.765;8047.433;8000.312;8389.315;8310.660;8382.635;8632.712;8832.880;9013.693;9170.466;9458.471;9640.969;10032.412;10283.813;10412.515;11037.892;11319.849;12158.834;12722.743;13536.735;14446.961;15970.428;17144.407;18514.884;18552.010;16863.735;13104.228;8794.688;4790.990;2113.793;763.162;214.756;60.857;23.255;16.960;14.943;15.082;15.333;14.872;14.459;15.405;12.625;14.363;11.993;12.605;13.074;10.389;12.355;20.248;10.742;11.739;10.017;11.217
4860.417;4771.158;4826.168;4855.493;4920.446;4923.669;4920.502;4959.313;4962.905;5015.717;5018.133;5035.828;5070.183;5048.913;5116.596;5162.379;5146.269;5215.298;5202.999;5173.054;5118.818;5333.824;5272.585;5370.469;5284.326;5298.285;5347.670;5297.082;5428.047;5466.336;5458.364;5364.201;5523.964;5476.911;5451.186;5524.576;5422.565;5536.115;5484.160;5559.619;5681.878;5555.084;5491.847;5709.488;5479.104;5652.634;5709.251;5722.712;5668.025;5697.094;5752.659;5765.457;5688.819;5778.388;5855.428;5754.454;5927.336;5802.079;5825.796;5807.126;5882.363;5948.215;5836.055;5975.195;5950.937;5950.081;5943.838;5970.776;6025.749;5965.347;6029.949;6095.358;6067.098;6130.385;6081.685;6173.343;6162.354;6142.869;6178.819;6161.002;6309.193;6357.559;6290.981;6304.946;6402.505;6306.488;6428.861;6422.094;6433.967;6467.538;6483.455;6511.154;6609.182;6632.609;6669.387;6744.378;6757.014;6770.645;6699.955;6937.116;6916.549;6928.631;6909.405;7122.674;7086.445;7160.005;7299.976;7329.507;7296.367;7407.241;7383.452;7566.976;7741.570;7578.454;7789.090;7857.285;8013.137;8060.237;8259.903;8301.258;8479.869;8582.474;8801.089;8966.643;9153.601;9404.826;9625.694;10151.251;10190.730;10355.151;11131.325;11358.198;11880.334;12731.312;13721.763;14917.528;16259.991;17815.258;18523.148;18158.120;15546.612;11307.788;7146.404;3519.749;1418.658;443.695;114.170;30.698;15.534;13.731;13.045;12.043;11.375;11.599;10.767;10.800;10.312;9.388;9.494;9.374;9.081;8.063;8.084;8.182;7.310;8.061;7.920;7.880;6.901;5.996;7.105;5.882;5.603;5.685;5.785;1.265;5.013;5.405;5.123;6.217
