Measurement: #4
Date: 2025-06-13T17:49:47.1985563+02:00
MLIC serial number: 26688
Comments: 
Calibration info: [2023-12-05 19:42:27]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: 30 [cm]
Snout distance: 42 [cm]
FieldSize: 10 [cm]
SSD: 228 [cm]
Beam delivery mode: PencilBeamScanning
Sampling time: 1000 [ms]
Number of samples: 38
Measurement mode: MovieMode
Measurement time: 60 [s]
Build-up thickness: 0 [cm]
Build-up density: 0 [g/cm^3]
Bragg Peak type: Unknown
Channel count (active): 180
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 

Curves: 18
Curve depth: [mm]
2.261;4.098;5.935;7.772;9.609;11.446;13.283;15.120;16.957;18.793;20.630;22.467;24.304;26.141;27.978;29.815;31.652;33.489;35.326;37.162;38.999;40.836;42.673;44.510;46.347;48.184;50.021;51.858;53.695;55.531;57.368;59.205;61.042;62.879;64.716;66.553;68.390;70.227;72.064;73.900;75.737;77.574;79.411;81.248;83.085;84.922;86.759;88.596;90.433;92.269;94.106;95.943;97.780;99.617;101.454;103.291;105.128;106.965;108.802;110.638;112.475;114.312;116.149;117.986;119.823;121.660;123.497;125.334;127.171;129.007;130.844;132.681;134.518;136.355;138.192;140.029;141.866;143.703;145.540;147.376;149.213;151.050;152.887;154.724;156.561;158.398;160.235;162.072;163.909;165.745;167.582;169.419;171.256;173.093;174.930;176.767;178.604;180.441;182.278;184.114;185.951;187.788;189.625;191.462;193.299;195.136;196.973;198.810;200.647;202.483;204.320;206.157;207.994;209.831;211.668;213.505;215.342;217.179;219.016;220.852;222.689;224.526;226.363;228.200;230.037;231.874;233.711;235.548;237.385;239.221;241.058;242.895;244.732;246.569;248.406;250.243;252.080;253.917;255.754;257.590;259.427;261.264;263.101;264.938;266.775;268.612;270.449;272.286;274.123;275.959;277.796;279.633;281.470;283.307;285.144;286.981;288.818;290.655;292.492;294.328;296.165;298.002;299.839;301.676;303.513;305.350;307.187;309.024;310.861;312.697;314.534;316.371;318.208;320.045;321.882;323.719;325.556;327.393;329.230;331.066
Curve gains: [counts]
4857.919;4779.794;4836.989;4868.137;4932.196;4950.766;4932.656;4975.561;4982.185;5039.643;5034.801;5063.960;5090.813;5066.693;5131.674;5188.737;5156.458;5236.971;5214.937;5192.803;5134.988;5347.107;5282.117;5395.139;5291.256;5306.759;5343.625;5298.855;5423.611;5468.916;5449.160;5357.730;5518.122;5471.852;5433.917;5504.356;5402.968;5507.072;5456.659;5529.255;5643.304;5513.815;5449.734;5660.507;5433.006;5597.852;5657.017;5664.506;5598.019;5628.587;5677.380;5687.618;5599.791;5690.770;5793.487;5653.324;5823.253;5691.554;5707.433;5678.553;5755.269;5813.347;5694.087;5818.194;5797.728;5789.963;5773.348;5803.736;5839.341;5773.805;5832.031;5887.809;5849.904;5907.944;5839.931;5934.422;5905.928;5880.212;5905.892;5874.405;6011.594;6052.191;5968.304;5979.007;6054.304;5961.112;6057.718;6042.109;6031.149;6053.732;6062.233;6064.212;6151.745;6145.365;6169.116;6212.580;6225.605;6203.700;6131.517;6312.937;6285.982;6273.622;6235.341;6389.525;6341.765;6373.770;6475.414;6461.480;6415.734;6465.600;6414.651;6529.574;6652.216;6460.666;6605.603;6590.867;6687.139;6657.609;6769.975;6715.603;6813.218;6800.712;6898.620;6914.520;6961.484;7032.763;7064.941;7277.058;7150.659;7061.456;7358.610;7237.231;7269.949;7395.553;7503.781;7566.539;7624.241;7749.769;7796.405;7971.846;8027.696;7952.957;8238.717;8208.933;8528.706;8577.961;8693.242;8740.189;9040.995;9095.856;9471.295;9743.325;10038.126;10197.485;10566.703;10954.280;11372.623;12112.389;12478.669;13437.504;14491.228;15709.494;17030.864;18556.671;18176.564;17224.419;13437.599;9287.120;5124.434;2344.705;845.041;251.359;68.642;24.555;21.169;49.760;17.489;20.713;16.934;17.267
4849.046;4764.127;4821.680;4852.615;4920.499;4925.996;4922.122;4962.401;4969.367;5020.727;5019.160;5045.231;5077.715;5055.581;5120.955;5168.996;5146.269;5223.318;5209.008;5178.004;5122.873;5333.856;5275.195;5381.940;5285.330;5298.316;5343.625;5292.649;5427.435;5465.109;5451.007;5357.730;5519.295;5467.791;5439.561;5512.138;5409.524;5516.757;5471.667;5541.942;5656.726;5533.526;5469.337;5680.271;5451.147;5622.213;5678.426;5686.908;5627.588;5656.810;5707.108;5721.805;5639.278;5726.231;5814.134;5696.310;5865.352;5738.682;5759.448;5726.934;5806.521;5867.081;5753.527;5881.504;5860.842;5857.574;5846.036;5870.101;5921.103;5853.024;5915.835;5973.062;5938.204;6000.745;5942.398;6030.392;6009.485;5987.995;6020.674;5997.007;6135.279;6181.185;6100.631;6110.543;6198.538;6104.097;6207.873;6196.500;6197.188;6219.631;6230.152;6241.375;6332.669;6339.447;6369.619;6421.637;6429.204;6426.612;6352.347;6555.881;6531.657;6523.465;6495.494;6671.815;6624.586;6667.103;6782.197;6783.946;6742.763;6805.889;6773.912;6902.986;7043.318;6853.877;7024.385;7033.884;7145.718;7137.556;7274.885;7249.210;7361.132;7380.777;7508.127;7557.668;7634.797;7745.393;7819.081;8098.419;7989.737;7938.075;8327.320;8242.234;8302.576;8544.958;8742.395;8909.270;9056.555;9323.212;9500.361;9868.296;10098.465;10201.087;10788.567;11028.298;11798.921;12290.741;12992.411;13761.474;15136.155;16294.807;17945.465;18750.895;18202.676;15477.919;11565.945;7145.016;3614.777;1503.833;475.466;134.327;36.603;19.259;15.989;15.165;13.625;13.980;14.532;13.022;11.735;14.480;12.042;11.578;12.078;9.657;11.314;14.508;10.806;10.578;9.103;11.267
4835.243;4749.579;4809.974;4842.914;4908.802;4914.738;4912.398;4951.266;4954.413;5011.768;5012.317;5035.867;5066.488;5046.691;5115.595;5161.319;5141.567;5214.217;5198.334;5171.097;5119.844;5331.963;5271.735;5374.398;5284.343;5298.316;5346.871;5299.742;5429.730;5468.916;5457.471;5365.365;5526.328;5478.958;5451.976;5526.924;5424.823;5537.510;5488.343;5560.972;5680.214;5555.115;5489.919;5710.347;5482.591;5657.883;5712.918;5724.990;5671.941;5699.143;5757.647;5768.337;5689.688;5780.407;5862.310;5755.311;5927.392;5806.656;5825.811;5805.800;5885.370;5949.861;5836.908;5971.125;5951.004;5951.191;5944.816;5967.192;6022.808;5965.371;6026.876;6094.422;6064.204;6131.510;6080.729;6171.524;6160.467;6139.084;6178.888;6158.544;6304.215;6355.206;6287.221;6299.268;6394.962;6300.845;6421.446;6415.670;6424.924;6457.541;6470.604;6501.429;6600.021;6616.857;6652.233;6729.874;6744.072;6754.968;6681.893;6922.493;6900.170;6912.449;6885.724;7098.092;7067.900;7137.560;7269.569;7304.999;7267.458;7373.353;7348.940;7530.996;7708.087;7539.647;7746.614;7810.179;7960.000;8002.202;8196.592;8234.941;8411.041;8502.900;8709.868;8868.311;9042.802;9281.616;9484.716;9988.053;10014.470;10150.034;10873.185;11056.069;11527.016;12277.240;13132.710;14175.700;15384.760;16985.659;18147.318;18763.247;17349.086;13930.868;9920.826;5603.285;2631.243;960.086;278.064;69.821;23.261;16.897;16.071;15.321;13.299;13.952;13.710;13.002;12.415;12.495;11.897;12.056;10.026;10.362;10.109;10.236;10.059;10.088;10.172;10.514;8.873;10.296;9.109;9.337;8.876;8.089;9.125;14.508;6.986;8.044;7.146;8.267
