Measurement: #2
Date: 2025-06-13T17:46:59.8410421+02:00
MLIC serial number: 26688
Comments: 
Calibration info: [2023-12-05 19:42:27]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: 30 [cm]
Snout distance: 42 [cm]
FieldSize: 10 [cm]
SSD: 228 [cm]
Beam delivery mode: PencilBeamScanning
Sampling time: 1000 [ms]
Number of samples: 39
Measurement mode: MovieMode
Measurement time: 60 [s]
Build-up thickness: 0 [cm]
Build-up density: 0 [g/cm^3]
Bragg Peak type: Unknown
Channel count (active): 180
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 

Curves: 16
Curve depth: [mm]
2.261;4.098;5.935;7.772;9.609;11.446;13.283;15.120;16.957;18.793;20.630;22.467;24.304;26.141;27.978;29.815;31.652;33.489;35.326;37.162;38.999;40.836;42.673;44.510;46.347;48.184;50.021;51.858;53.695;55.531;57.368;59.205;61.042;62.879;64.716;66.553;68.390;70.227;72.064;73.900;75.737;77.574;79.411;81.248;83.085;84.922;86.759;88.596;90.433;92.269;94.106;95.943;97.780;99.617;101.454;103.291;105.128;106.965;108.802;110.638;112.475;114.312;116.149;117.986;119.823;121.660;123.497;125.334;127.171;129.007;130.844;132.681;134.518;136.355;138.192;140.029;141.866;143.703;145.540;147.376;149.213;151.050;152.887;154.724;156.561;158.398;160.235;162.072;163.909;165.745;167.582;169.419;171.256;173.093;174.930;176.767;178.604;180.441;182.278;184.114;185.951;187.788;189.625;191.462;193.299;195.136;196.973;198.810;200.647;202.483;204.320;206.157;207.994;209.831;211.668;213.505;215.342;217.179;219.016;220.852;222.689;224.526;226.363;228.200;230.037;231.874;233.711;235.548;237.385;239.221;241.058;242.895;244.732;246.569;248.406;250.243;252.080;253.917;255.754;257.590;259.427;261.264;263.101;264.938;266.775;268.612;270.449;272.286;274.123;275.959;277.796;279.633;281.470;283.307;285.144;286.981;288.818;290.655;292.492;294.328;296.165;298.002;299.839;301.676;303.513;305.350;307.187;309.024;310.861;312.697;314.534;316.371;318.208;320.045;321.882;323.719;325.556;327.393;329.230;331.066
Curve gains: [counts]
4856.161;4772.109;4830.896;4863.464;4929.201;4946.468;4933.656;4973.705;4981.295;5037.818;5032.031;5064.155;5087.258;5065.360;5125.403;5183.472;5155.073;5237.198;5208.019;5188.001;5129.065;5342.485;5276.176;5393.411;5286.499;5301.271;5342.164;5292.827;5411.603;5469.043;5442.866;5354.585;5512.418;5464.848;5431.773;5501.347;5400.892;5502.345;5451.795;5524.328;5635.838;5512.031;5447.889;5652.014;5427.080;5595.344;5656.006;5657.879;5594.297;5622.708;5671.533;5684.912;5596.501;5687.913;5786.681;5651.737;5818.951;5688.926;5705.729;5676.024;5747.482;5812.015;5689.258;5813.357;5792.820;5791.107;5767.881;5800.151;5832.511;5764.538;5827.946;5881.891;5848.036;5904.885;5840.067;5927.020;5902.186;5881.334;5898.825;5871.188;6009.667;6048.702;5965.543;5970.946;6045.875;5952.132;6048.485;6038.960;6028.502;6049.266;6056.338;6060.230;6148.346;6140.249;6163.451;6213.585;6218.621;6201.943;6124.836;6311.547;6283.898;6268.611;6230.380;6385.815;6337.899;6370.100;6471.116;6459.651;6408.559;6457.194;6408.436;6524.341;6647.008;6458.072;6598.903;6587.656;6681.109;6652.661;6761.115;6714.942;6804.886;6798.932;6891.279;6908.467;6955.117;7024.153;7055.636;7278.082;7140.542;7057.177;7354.607;7232.180;7264.340;7387.316;7495.472;7561.402;7616.714;7741.531;7787.382;7965.174;8019.027;7947.791;8232.414;8199.581;8521.603;8567.555;8684.219;8731.620;9029.596;9083.553;9462.511;9730.623;10026.115;10184.041;10553.361;10938.674;11356.575;12098.307;12455.702;13410.540;14462.938;15676.185;16998.577;18537.021;18171.274;17247.839;13488.860;9344.851;5170.260;2372.665;856.823;255.822;69.727;24.555;20.092;44.382;17.489;19.446;15.972;16.233
4847.288;4766.514;4822.791;4850.853;4922.820;4931.832;4923.932;4964.594;4968.477;5022.884;5020.300;5048.938;5075.095;5056.470;5121.116;5170.312;5149.587;5226.959;5210.391;5180.108;5126.036;5335.860;5277.906;5376.440;5288.474;5301.271;5344.599;5298.146;5423.840;5470.312;5453.023;5360.038;5519.451;5470.938;5446.446;5512.242;5408.541;5520.331;5469.305;5542.090;5658.487;5531.743;5467.491;5680.371;5450.058;5623.184;5679.794;5689.241;5631.647;5654.962;5706.216;5720.998;5639.348;5727.314;5814.210;5696.409;5865.481;5741.492;5761.331;5732.357;5807.605;5873.011;5754.477;5884.889;5862.946;5860.799;5844.296;5872.662;5921.253;5856.721;5915.940;5972.159;5941.296;5999.796;5945.609;6030.517;6015.421;5992.004;6021.881;5996.276;6135.363;6181.348;6103.582;6113.103;6197.700;6103.125;6207.966;6197.669;6199.078;6222.457;6232.206;6245.519;6337.336;6345.934;6370.637;6424.587;6437.608;6430.404;6355.857;6559.613;6536.154;6531.658;6496.787;6674.736;6626.592;6673.741;6785.515;6786.846;6743.867;6810.681;6768.745;6908.360;7046.499;6859.334;7025.523;7039.614;7149.278;7143.741;7273.944;7252.155;7364.281;7388.047;7508.189;7562.774;7637.591;7750.345;7816.769;8105.490;7993.808;7946.687;8325.318;8247.455;8299.843;8552.618;8740.331;8913.537;9059.781;9332.627;9496.965;9870.087;10100.531;10203.251;10785.944;11024.209;11802.654;12287.360;12988.476;13764.837;15130.503;16289.731;17937.668;18755.295;18217.666;15496.108;11594.837;7173.449;3635.065;1514.066;480.174;134.392;37.548;19.314;15.058;15.230;13.684;14.045;13.478;14.318;11.766;14.549;12.091;11.560;12.096;9.657;11.333;14.553;9.851;10.578;10.098;11.233
4834.471;4750.847;4809.283;4839.212;4906.870;4914.944;4910.967;4949.410;4955.659;5007.951;5011.502;5031.380;5061.997;5042.394;5112.540;5154.958;5139.398;5215.582;5197.346;5167.282;5118.969;5331.127;5269.254;5372.669;5279.585;5298.457;5343.787;5292.827;5421.546;5467.774;5457.640;5362.220;5525.312;5478.044;5452.089;5522.358;5422.747;5535.550;5487.649;5557.314;5681.137;5555.209;5488.073;5706.151;5480.293;5655.375;5710.718;5722.843;5669.776;5696.287;5754.773;5766.581;5688.917;5779.520;5857.798;5752.881;5926.413;5802.215;5825.900;5804.596;5882.511;5948.530;5836.207;5969.576;5949.101;5950.254;5939.349;5968.523;6022.957;5962.586;6026.981;6089.508;6065.312;6126.342;6079.841;6168.827;6155.756;6137.319;6172.856;6152.842;6301.283;6351.718;6283.508;6302.645;6393.174;6297.585;6416.876;6413.601;6422.278;6454.898;6470.670;6499.885;6594.316;6613.851;6650.387;6726.989;6741.823;6755.060;6683.138;6918.175;6898.087;6909.470;6887.016;7100.065;7063.056;7132.015;7266.360;7298.442;7269.597;7374.374;7349.010;7531.067;7702.879;7535.711;7743.274;7807.781;7964.432;8000.965;8196.641;8227.791;8406.883;8502.930;8711.164;8864.287;9038.267;9282.869;9478.907;9982.023;10008.406;10150.052;10870.183;11059.579;11521.407;12275.916;13131.686;14173.697;15375.082;16977.421;18145.048;18765.884;17353.103;13941.409;9930.166;5609.724;2636.179;961.974;279.217;68.845;24.315;15.951;15.183;15.446;14.323;14.065;12.846;12.075;12.516;12.597;10.840;12.120;10.971;10.417;10.158;9.316;9.227;9.180;10.209;9.301;8.904;8.971;9.158;8.198;7.827;7.305;8.048;11.841;6.986;9.311;7.162;8.233
