Measurement: #7
Date: 2025-06-13T16:27:01.5615986+02:00
MLIC serial number: 26688
Comments: 
Calibration info: [2023-12-05 19:42:27]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: 30 [cm]
Snout distance: 42 [cm]
FieldSize: 10 [cm]
SSD: 228 [cm]
Beam delivery mode: PencilBeamScanning
Sampling time: 1000 [ms]
Number of samples: 37
Measurement mode: MovieMode
Measurement time: 60 [s]
Build-up thickness: 0 [cm]
Build-up density: 0 [g/cm^3]
Bragg Peak type: Unknown
Channel count (active): 180
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 

Curves: 17
Curve depth: [mm]
2.261;4.098;5.935;7.772;9.609;11.446;13.283;15.120;16.957;18.793;20.630;22.467;24.304;26.141;27.978;29.815;31.652;33.489;35.326;37.162;38.999;40.836;42.673;44.510;46.347;48.184;50.021;51.858;53.695;55.531;57.368;59.205;61.042;62.879;64.716;66.553;68.390;70.227;72.064;73.900;75.737;77.574;79.411;81.248;83.085;84.922;86.759;88.596;90.433;92.269;94.106;95.943;97.780;99.617;101.454;103.291;105.128;106.965;108.802;110.638;112.475;114.312;116.149;117.986;119.823;121.660;123.497;125.334;127.171;129.007;130.844;132.681;134.518;136.355;138.192;140.029;141.866;143.703;145.540;147.376;149.213;151.050;152.887;154.724;156.561;158.398;160.235;162.072;163.909;165.745;167.582;169.419;171.256;173.093;174.930;176.767;178.604;180.441;182.278;184.114;185.951;187.788;189.625;191.462;193.299;195.136;196.973;198.810;200.647;202.483;204.320;206.157;207.994;209.831;211.668;213.505;215.342;217.179;219.016;220.852;222.689;224.526;226.363;228.200;230.037;231.874;233.711;235.548;237.385;239.221;241.058;242.895;244.732;246.569;248.406;250.243;252.080;253.917;255.754;257.590;259.427;261.264;263.101;264.938;266.775;268.612;270.449;272.286;274.123;275.959;277.796;279.633;281.470;283.307;285.144;286.981;288.818;290.655;292.492;294.328;296.165;298.002;299.839;301.676;303.513;305.350;307.187;309.024;310.861;312.697;314.534;316.371;318.208;320.045;321.882;323.719;325.556;327.393;329.230;331.066
Curve gains: [counts]
4918.980;4797.643;4868.478;4927.281;4961.899;4963.056;4956.966;5009.945;5009.903;5069.476;5058.197;5077.967;5117.883;5086.696;5157.329;5219.408;5161.944;5273.319;5216.024;5234.241;5131.942;5374.557;5309.802;5381.877;5297.149;5331.132;5354.975;5346.712;5392.226;5526.006;5475.923;5357.675;5502.825;5519.564;5392.080;5551.048;5413.859;5526.511;5479.978;5539.362;5639.948;5523.217;5469.321;5695.739;5434.175;5622.227;5655.768;5699.228;5612.013;5639.641;5682.318;5694.234;5628.370;5707.499;5786.375;5660.081;5839.834;5705.224;5719.092;5693.134;5767.063;5820.850;5704.778;5846.122;5812.705;5805.514;5792.871;5823.318;5836.283;5796.826;5844.532;5904.809;5860.751;5920.563;5838.821;5969.188;5915.574;5908.088;5922.385;5895.087;6028.672;6071.581;5973.032;5996.940;6069.455;5958.767;6086.599;6087.400;6012.095;6091.986;6086.030;6091.816;6142.488;6176.938;6195.818;6247.439;6232.628;6214.753;6145.050;6350.245;6277.116;6323.353;6241.511;6418.859;6361.304;6392.483;6497.117;6502.158;6413.596;6492.904;6442.878;6550.720;6672.103;6515.622;6603.326;6650.993;6703.675;6669.896;6817.463;6755.972;6843.449;6853.168;6928.170;6942.890;7003.577;7067.223;7105.718;7320.494;7175.977;7101.169;7415.618;7273.956;7321.437;7452.205;7571.367;7612.429;7679.046;7806.199;7862.770;8066.583;8110.595;7990.565;8369.338;8256.239;8609.298;8682.416;8786.806;8852.930;9173.138;9227.952;9617.318;9919.657;10219.638;10417.729;10818.145;11227.855;11669.304;12561.158;12906.413;14032.046;15261.031;16561.346;17712.805;18715.299;17477.587;15326.756;10906.805;6762.463;3317.419;1334.917;427.499;119.088;38.688;19.027;21.114;52.155;18.397;20.629;17.880;18.233
4919.966;4787.571;4861.274;4919.520;4955.519;4948.420;4954.535;5002.859;4998.154;5053.547;5057.220;5066.262;5113.205;5085.214;5160.545;5208.441;5163.512;5267.631;5216.024;5229.308;5132.952;5374.557;5316.724;5364.907;5304.063;5332.070;5364.715;5350.258;5412.113;5529.813;5487.927;5368.582;5520.408;5528.701;5409.010;5564.277;5429.158;5547.264;5500.823;5562.198;5665.953;5553.254;5494.804;5727.533;5466.829;5651.808;5686.692;5732.830;5654.032;5677.943;5723.938;5735.069;5680.460;5752.810;5797.846;5712.339;5890.795;5765.947;5784.558;5764.047;5835.070;5890.560;5777.427;5922.587;5892.850;5883.527;5875.810;5894.599;5931.008;5891.169;5941.954;6007.113;5964.925;6021.801;5955.633;6078.330;6038.488;6027.419;6048.543;6027.630;6165.430;6209.094;6123.447;6149.718;6229.820;6113.191;6256.339;6252.588;6197.188;6271.558;6276.802;6286.857;6336.087;6386.842;6413.507;6473.998;6463.453;6460.789;6385.132;6615.873;6541.437;6595.540;6519.175;6721.989;6666.634;6713.930;6822.394;6845.429;6765.462;6864.301;6825.183;6948.530;7088.370;6942.383;7040.024;7126.524;7191.023;7178.293;7356.033;7321.307;7429.978;7471.241;7570.990;7625.601;7722.695;7826.704;7907.647;8188.214;8064.711;8029.354;8440.369;8339.738;8400.085;8684.550;8888.045;9040.844;9214.590;9502.034;9687.151;10114.512;10355.067;10416.703;11163.958;11338.800;12214.240;12825.485;13614.086;14540.249;16077.729;17199.141;18514.900;18516.772;16744.574;12982.253;8691.997;4725.999;2073.436;752.035;206.703;57.017;21.483;14.755;12.984;13.111;13.565;12.910;12.279;11.621;10.717;11.528;10.021;10.402;9.872;9.618;9.070;6.056;8.848;9.227;7.113;9.233
4905.177;4774.142;4848.666;4906.909;4945.948;4937.161;4942.380;4990.711;4989.608;5046.578;5046.467;5054.556;5107.591;5071.879;5149.826;5198.570;5157.242;5259.667;5212.467;5224.375;5125.885;5367.931;5315.858;5363.021;5300.112;5335.823;5362.280;5354.691;5412.113;5531.082;5495.314;5374.036;5527.442;5536.822;5420.297;5577.507;5445.549;5563.175;5521.668;5582.497;5688.603;5575.781;5522.247;5758.469;5497.064;5686.608;5722.374;5768.673;5696.050;5717.253;5770.513;5783.500;5732.549;5806.001;5859.786;5772.183;5955.051;5833.014;5849.127;5834.298;5909.977;5967.531;5858.332;6011.386;5982.010;5976.103;5975.522;5996.606;6030.718;5999.195;6056.137;6126.468;6090.925;6151.511;6088.841;6221.344;6185.598;6174.658;6209.859;6192.481;6335.371;6383.114;6307.181;6343.345;6428.142;6314.514;6469.912;6478.237;6423.110;6514.026;6521.228;6547.724;6597.677;6670.581;6700.895;6782.236;6778.320;6791.919;6718.075;6984.680;6909.950;6991.633;6918.160;7156.792;7110.927;7185.324;7319.557;7374.047;7302.576;7442.134;7419.064;7589.271;7765.721;7650.967;7781.289;7925.580;8028.845;8070.153;8314.371;8332.998;8518.501;8644.040;8823.318;8986.965;9193.908;9441.834;9670.026;10179.637;10210.035;10385.267;11186.382;11379.571;11920.795;12784.531;13771.724;14915.421;16255.726;17775.264;18460.160;18185.214;15593.469;11370.614;7335.963;3622.922;1500.554;475.309;124.362;35.037;18.424;16.845;15.035;15.285;14.183;15.026;13.662;12.914;12.348;12.445;11.820;13.257;9.967;12.530;11.024;10.154;9.108;9.991;9.010;11.621;9.763;10.133;9.044;9.281;8.805;7.266;9.070;19.615;7.893;10.494;8.092;8.233
