4888.417;4756.237;4829.755;4887.507;4928.935;4924.777;4926.174;4974.514;4973.586;5031.645;5030.825;5040.510;5095.429;5061.507;5141.250;5193.087;5149.404;5251.704;5201.793;5224.375;5124.875;5367.931;5313.263;5359.250;5304.063;5335.823;5367.962;5360.010;5422.821;5546.312;5506.395;5386.033;5539.164;5558.140;5437.228;5598.518;5468.497;5591.538;5550.018;5604.065;5725.513;5610.511;5560.472;5795.419;5533.346;5732.719;5767.570;5819.076;5752.076;5776.721;5832.943;5848.075;5798.922;5879.878;5924.021;5853.941;6041.465;5920.927;5947.775;5932.384;6016.423;6070.643;5975.561;6136.361;6105.232;6106.125;6107.851;6135.482;6177.293;6154.753;6215.365;6295.971;6261.571;6330.786;6272.257;6426.456;6394.649;6392.149;6428.049;6425.259;6581.737;6642.320;6571.835;6621.122;6723.251;6613.067;6788.874;6808.612;6767.890;6877.727;6898.797;6942.682;7015.991;7113.594;7165.871;7270.359;7287.317;7329.312;7274.113;7594.967;7543.880;7661.945;7612.319;7918.406;7905.566;8033.459;8230.117;8343.337;8320.919;8550.668;8593.210;8870.751;9178.093;9148.657;9430.660;9748.044;10054.088;10305.368;10864.658;11178.422;11801.812;12433.918;13332.932;14394.888;15768.565;17296.793;18431.801;18908.237;16552.778;12616.563;8338.294;4122.836;1562.890;473.528;110.539;30.442;16.381;16.652;14.894;13.653;13.906;12.687;12.162;12.914;11.138;10.772;11.414;11.173;9.803;9.619;10.100;9.941;9.528;9.377;8.863;8.720;8.310;7.379;9.514;9.396;8.195;6.969;7.104;8.182;7.325;7.071;7.920;6.605;5.947;7.344;7.088;7.040;6.670;5.698;5.785;11.480;5.984;6.693;5.155;6.233
4878.557;4746.165;4818.048;4876.836;4916.175;4913.518;4917.260;4962.367;4963.973;5024.676;5022.027;5032.316;5088.880;5059.285;5134.819;5188.700;5150.972;5252.841;5200.607;5224.375;5123.866;5373.610;5320.184;5361.136;5309.001;5348.955;5386.631;5376.853;5445.766;5565.348;5532.250;5412.210;5564.954;5589.610;5466.574;5642.876;5501.280;5639.271;5597.545;5656.081;5776.685;5664.952;5613.398;5860.727;5597.444;5802.320;5840.122;5897.481;5836.113;5863.404;5923.119;5945.888;5901.420;5982.321;6018.079;5971.100;6161.114;6047.811;6080.501;6080.176;6160.322;6218.776;6131.591;6306.559;6280.547;6290.237;6302.617;6334.579;6390.673;6381.608;6444.779;6537.689;6517.541;6599.698;6550.968;6722.834;6702.418;6714.536;6769.295;6783.954;6961.843;7032.954;6987.855;7063.932;7188.215;7086.634;7304.621;7351.680;7334.056;7484.808;7550.600;7631.826;7744.295;7885.703;8000.346;8165.899;8235.472;8343.052;8354.480;8798.712;8821.612;9053.348;9110.702;9613.093;9752.221;10089.600;10563.628;10975.079;11259.005;11961.106;12555.561;13639.174;15027.850;16119.088;17751.419;18757.944;18092.290;15124.625;10924.059;6150.977;2681.388;856.146;193.977;40.712;14.856;12.432;13.074;11.892;10.370;9.794;10.191;9.516;6.760;9.066;8.535;8.499;7.778;8.414;7.015;6.883;7.075;7.452;6.641;5.545;6.321;5.503;6.326;5.749;5.971;4.457;5.165;5.665;4.873;3.728;4.064;4.526;4.273;5.353;3.748;2.960;3.765;3.633;3.185;3.253;2.868;3.179;3.560;2.843;4.039;3.161;3.178;1.438;3.469;3.345;2.500;0.000;2.164;1.626;3.198;4.233
4870.670;4738.332;4813.546;4874.895;4907.668;4905.637;4912.398;4962.367;4962.905;5024.676;5022.027;5036.998;5090.751;5063.730;5140.178;5196.377;5154.890;5265.356;5216.024;5240.161;5142.038;5393.487;5341.814;5385.648;5336.656;5378.973;5417.476;5414.974;5481.715;5600.884;5576.573;5459.109;5610.671;5643.413;5520.752;5702.797;5563.568;5708.449;5668.418;5729.664;5856.378;5750.369;5701.609;5961.266;5689.359;5911.071;5951.924;6019.568;5959.058;5992.421;6059.871;6089.282;6049.287;6139.925;6164.902;6139.674;6341.695;6232.698;6273.313;6285.626;6381.100;6443.880;6366.875;6562.265;6548.028;6566.924;6595.232;6641.827;6718.720;6723.690;6804.089;6925.842;6920.345;7028.902;6999.774;7204.565;7207.624;7251.527;7339.071;7384.540;7610.437;7729.037;7715.176;7844.977;8036.537;7971.999;8276.428;8391.391;8453.686;8714.466;8881.034;9094.632;9358.778;9674.632;10002.513;10419.821;10778.090;11234.431;11656.734;12793.386;13517.960;14796.696;16116.080;18264.616;18933.630;18033.013;14860.771;9928.246;4998.885;1900.407;482.070;92.398;22.316;13.554;12.560;11.434;11.566;12.493;10.098;9.446;9.654;9.125;8.904;9.265;7.527;7.500;7.246;7.861;7.330;6.571;7.189;6.948;1.007;6.301;6.453;5.364;5.627;6.061;4.764;5.190;5.123;4.311;4.800;4.492;3.913;4.625;4.291;3.580;4.055;3.424;4.178;2.458;3.942;3.728;3.104;2.429;3.264;2.313;2.595;2.960;2.879;2.521;3.185;2.267;2.868;2.206;1.381;1.589;2.131;1.766;2.200;2.558;2.401;1.777;2.500;0.000;2.164;1.626;1.240;2.233
4857.853;4731.617;4801.839;4860.344;4895.971;4903.385;4906.726;4956.293;4959.700;5021.690;5024.960;5036.998;5092.622;5071.138;5148.754;5207.344;5168.214;5279.008;5231.441;5259.894;5162.230;5420.937;5367.769;5421.474;5370.237;5417.434;5459.684;5455.753;5529.901;5652.918;5629.206;5515.825;5673.972;5709.397;5595.246;5779.839;5642.247;5801.839;5760.138;5829.889;5966.270;5867.699;5819.224;6091.882;5818.765;6054.624;6100.597;6176.378;6125.577;6167.803;6246.170;6289.655;6255.125;6359.585;6398.900;6387.478;6608.690;6510.030;6568.360;6592.477;6706.352;6793.880;6734.248;6958.570;6961.772;7007.960;7064.907;7134.653;7247.185;7289.027;7412.716;7576.776;7614.835;7778.692;7795.944;8085.230;8149.321;8271.618;8450.704;8593.995;8959.914;9219.775;9348.794;9663.601;10091.867;10250.612;10933.507;11441.425;11989.500;12966.766;14075.587;15603.308;17524.535;19043.303;18713.897;15718.192;10417.057;5215.812;1770.356;418.603;69.425;18.366;15.342;13.341;12.999;13.198;12.239;13.113;11.694;10.432;10.736;10.714;9.734;12.212;9.200;9.809;8.079;10.020;8.118;7.283;7.566;7.315;7.670;7.236;7.527;7.500;7.246;7.861;6.317;6.571;6.188;6.092;12.512;4.919;5.412;6.409;4.552;4.884;5.890;5.190;5.123;5.358;4.800;4.492;5.117;4.625;4.291;4.664;4.055;4.457;4.178;4.596;3.942;3.728;4.064;4.526;4.273;4.340;3.748;4.247;3.765;3.633;3.185;3.253;3.759;4.152;3.560;4.097;3.085;3.161;3.178;3.679;2.401;2.561;3.595;6.056;3.119;2.893;2.219;3.233
4847.994;4727.141;4796.436;4852.583;4897.034;4898.881;4906.726;4957.306;4960.769;5025.672;5028.870;5048.704;5104.784;5085.955;5162.689;5225.988;5190.159;5304.037;5256.346;5290.479;5199.584;5459.745;5410.162;5466.728;5419.621;5474.655;5520.562;5523.128;5605.621;5730.334;5715.081;5604.171;5771.269;5812.943;5701.345;5903.574;5764.637;5939.503;5906.054;5979.593;6134.884;6037.594;5997.606;6289.524;6014.689;6270.387;6328.958;6420.553;6383.915;6441.963;6538.500;6605.884;6581.945;6714.194;6754.486;6785.312;7036.324;6961.374;7052.631;7112.731;7266.179;7390.769;7374.054;7661.558;7712.122;7819.299;7939.023;8084.665;8288.162;8425.462;8666.635;8983.957;9164.540;9532.420;9749.994;10349.932;10733.421;11275.110;12006.896;12867.680;14335.702;16106.373;17967.172;19371.919;18374.867;13695.984;8092.698;3129.137;723.343;106.862;18.100;11.418;12.983;10.618;10.773;10.745;9.845;10.221;9.381;8.818;9.103;8.210;7.838;7.657;7.128;7.575;6.799;7.439;6.520;6.661;6.546;6.471;5.540;6.844;5.841;5.744;5.463;6.309;5.148;4.399;4.435;4.600;3.969;5.207;3.863;3.802;3.749;4.837;3.277;3.348;3.186;3.524;1.007;2.845;3.331;3.274;2.402;2.530;2.514;2.652;3.172;2.216;2.960;2.386;2.709;2.869;2.256;1.410;2.139;2.392;2.204;1.390;2.079;1.469;2.144;2.429;2.254;2.313;1.441;1.673;1.993;2.521;2.205;1.282;1.976;2.206;1.381;0.334;1.177;0.372;1.222;1.438;1.334;0.993;1.405;3.344;1.209;0.359;0.261;1.233
4838.135;4721.546;4790.132;4854.523;4895.971;4900.007;4909.967;4971.478;4969.314;5042.596;5047.444;5069.773;5125.367;5110.403;5194.847;5262.179;5232.481;5351.819;5307.340;5342.770;5251.072;5527.895;5478.511;5540.266;5499.623;5558.142;5613.908;5624.191;5712.701;5847.093;5845.279;5738.325;5915.455;5967.246;5863.878;6082.560;5949.315;6140.811;6111.171;6205.418;6374.802;6292.905;6267.139;6594.580;6317.040;6611.432;6691.720;6811.457;6799.435;6893.522;7018.121;7127.234;7136.446;7318.015;7399.129;7488.265;7812.935;7802.432;7959.294;8115.462;8367.108;8625.210;8724.666;9210.599;9446.241;9787.317;10198.866;10707.337;11382.176;12109.873;13225.577;14863.424;16881.316;19164.742;18837.811;15396.821;8839.382;3200.999;621.705;64.021;12.335;12.494;9.758;9.205;8.793;10.581;9.544;10.005;8.378;8.416;9.158;7.355;8.374;8.509;6.954;6.855;8.661;6.521;7.116;5.891;6.910;7.194;6.587;6.710;6.149;5.701;6.799;5.548;5.485;4.776;5.499;5.410;5.540;6.844;4.722;4.931;3.720;6.309;5.148;4.399;4.435;4.600;5.203;4.193;3.863;5.034;4.915;4.837;4.290;4.422;4.186;3.524;9.636;2.845;3.331;4.319;4.552;4.884;3.639;3.498;3.172;3.263;2.960;3.439;3.913;2.869;3.273;3.580;2.139;2.392;2.204;3.527;3.010;3.728;3.104;2.429;2.254;2.313;2.595;4.247;2.879;2.521;2.205;3.253;2.868;2.206;2.470;4.097;3.085;3.161;2.200;2.558;2.401;1.777;2.500;6.056;2.164;4.159;2.219;3.233
4839.121;4724.903;4795.535;4866.164;4904.478;4918.021;4928.605;4989.699;4991.745;5070.472;5078.726;5106.060;5166.533;5163.744;5245.228;5320.305;5294.397;5424.631;5380.868;5429.594;5336.886;5631.067;5586.658;5655.286;5622.095;5697.913;5760.014;5782.877;5882.499;6034.923;6040.114;5943.375;6139.353;6212.913;6112.193;6367.382;6237.805;6468.714;6458.036;6580.946;6784.173;6729.375;6723.875;7117.042;6847.968;7216.961;7342.312;7531.661;7572.894;7746.241;7958.535;8172.782;8277.374;8608.398;8828.354;9115.004;9708.486;9958.551;10458.670;11069.973;11963.607;13112.767;14442.474;17096.401;19297.961;18786.941;14081.137;7126.050;2035.322;261.567;21.195;9.294;8.185;8.718;8.436;7.762;6.984;7.923;7.463;6.862;7.307;7.626;6.902;5.937;5.946;6.005;6.746;5.686;6.563;5.682;6.177;4.917;6.069;5.344;5.044;4.910;5.110;4.671;4.851;3.695;4.716;4.147;5.336;3.868;4.192;3.827;3.536;3.657;4.450;3.833;4.451;4.349;3.443;4.160;3.602;3.306;2.848;3.835;3.168;2.235;3.392;2.790;2.735;2.164;2.031;2.569;2.584;1.814;3.277;2.274;3.186;2.668;6.760;1.463;2.290;2.229;2.402;2.530;2.514;1.805;2.196;2.216;2.040;2.386;2.709;1.990;2.256;2.495;2.139;2.392;1.217;2.458;2.079;1.469;2.144;2.429;1.245;1.300;1.441;1.673;1.993;1.409;1.225;1.282;1.976;1.233;2.470;1.589;2.131;1.766;1.222;1.438;1.334;0.993;1.405;3.344;1.209;1.626;1.240;0.233
4839.121;4730.498;4800.938;4877.806;4919.365;4936.035;4950.483;5020.067;5021.653;5111.289;5121.739;5159.904;5225.474;5227.456;5319.191;5403.654;5379.825;5524.747;5489.973;5549.962;5466.111;5777.779;5742.389;5826.873;5802.839;5893.966;5974.304;6017.803;6135.667;6314.130;6341.138;6266.218;6493.371;6599.685;6527.555;6831.191;6726.272;7021.446;7053.376;7240.658;7527.416;7530.977;7596.183;8134.468;7927.966;8479.350;8776.706;9186.003;9447.404;9951.620;10579.603;11344.564;12127.798;13594.595;15504.191;18300.599;19792.243;15747.171;8570.013;2455.631;253.549;17.524;7.609;7.619;8.265;8.599;6.741;7.722;7.212;5.905;7.577;7.288;6.201;6.609;6.387;5.881;5.049;5.999;6.429;5.205;5.296;6.409;4.998;5.120;4.998;6.005;5.813;4.607;4.748;3.859;5.183;4.104;4.917;4.289;4.090;3.938;5.110;3.746;4.851;3.695;4.716;3.132;4.086;3.868;3.213;2.890;3.536;2.711;3.415;2.891;3.404;3.289;3.443;4.160;2.482;1.680;2.848;2.598;2.178;2.235;2.348;1.885;2.735;2.164;2.947;2.569;3.749;2.822;2.263;2.274;2.185;1.812;1.007;1.463;2.290;2.229;2.402;1.353;2.514;1.805;1.220;2.216;2.040;2.386;1.505;1.990;1.238;1.410;1.181;1.359;2.204;1.390;1.148;2.598;1.184;1.381;2.254;1.300;1.441;1.673;1.107;2.521;1.225;2.267;1.085;2.206;1.381;1.589;1.177;1.766;1.222;1.438;1.334;0.993;1.405;3.344;2.164;2.893;1.240;2.233
4841.093;4736.094;4814.446;4893.328;4940.632;4964.182;4983.707;5061.571;5072.923;5169.031;5192.124;5238.330;5308.741;5323.766;5430.673;5525.389;5516.980;5676.058;5659.560;5728.542;5656.920;6000.213;5982.042;6087.083;6086.302;6212.906;6324.959;6399.004;6570.106;6787.512;6864.699;6827.922;7135.760;7313.337;7309.747;7734.684;7718.505;8176.026;8358.288;8749.116;9325.962;9591.301;10029.824;11239.164;11608.182;13449.734;15758.378;19060.531;18859.637;13263.719;5266.118;736.189;29.587;6.173;5.238;6.111;5.835;6.329;5.590;5.468;5.174;5.906;5.132;4.330;4.258;3.398;3.945;4.035;3.224;3.745;3.387;3.276;3.224;3.445;3.313;3.058;3.113;3.112;2.292;2.720;3.285;1.541;3.094;1.852;2.151;1.430;3.016;2.447;2.934;2.947;2.202;2.479;2.612;2.180;2.180;2.966;1.559;0.971;1.453;1.500;1.426;2.116;1.584;1.026;1.256;1.952;1.360;2.711;1.345;1.005;1.309;1.167;0.297;0.134;1.362;1.680;0.232;1.361;0.198;0.793;0.261;0.980;0.267;0.135;0.198;0.103;0.000;0.806;0.236;0.125;0.183;0.956;0.000;0.772;0.208;0.139;0.000;0.177;0.000;0.113;0.244;0.122;0.000;0.000;0.301;0.234;0.220;0.000;0.224;0.327;0.000;0.000;0.217;0.000;0.224;0.000;0.000;0.287;0.288;0.000;0.221;0.000;0.245;0.000;0.193;0.000;0.000;0.000;0.223;0.000;0.244;0.000;0.267;0.209;0.310;0.000;0.000;0.000;0.000;0.000
3206.444;3140.293;3198.899;3252.873;3291.374;3314.772;3337.129;3393.322;3405.555;3479.587;3500.932;3541.057;3598.498;3626.493;3702.713;3783.819;3791.177;3912.654;3915.067;3983.197;3955.791;4217.897;4230.931;4324.068;4364.784;4490.634;4618.761;4719.947;4901.188;5136.386;5282.935;5352.222;5712.656;6021.049;6218.291;6862.319;7225.667;8253.505;9432.235;11722.895;13053.920;9345.376;3452.231;329.332;0.323;0.203;0.258;0.317;0.156;0.202;0.000;0.000;0.182;0.000;0.000;0.211;0.000;0.891;0.000;0.166;0.000;0.097;0.179;0.219;0.000;0.277;0.217;0.000;0.233;0.144;0.244;0.000;0.248;0.281;0.239;0.235;0.210;0.225;0.224;0.235;0.000;0.325;0.000;0.218;0.253;0.286;0.218;0.288;0.212;0.213;0.215;0.041;0.307;0.070;0.000;0.049;0.375;0.046;0.321;0.037;0.329;0.085;0.334;0.079;0.277;0.078;0.000;0.000;0.000;0.063;0.000;0.106;0.297;0.134;0.000;0.000;0.232;0.000;0.198;0.072;0.261;0.000;0.000;0.135;0.000;0.000;0.253;0.000;0.000;0.000;0.000;0.000;0.000;0.081;0.000;0.000;0.251;0.000;0.263;0.113;0.000;0.000;0.199;0.000;0.000;0.000;0.000;0.325;0.000;0.000;0.230;0.321;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.386;0.000;0.000;0.000;0.000;0.000;0.000;0.291;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.233
1652.641;1619.470;1647.290;1675.475;1696.347;1708.144;1714.051;1743.294;1754.208;1788.152;1800.941;1822.715;1852.702;1859.580;1905.079;1946.836;1946.244;2013.865;2015.219;2049.407;2033.565;2168.659;2173.547;2236.734;2245.233;2305.900;2368.723;2422.990;2514.836;2640.025;2711.299;2747.660;2937.955;3093.352;3195.623;3517.605;3710.235;4231.500;4836.276;6016.385;6695.252;4794.829;1776.224;173.796;11.207;5.423;6.205;5.918;4.824;5.241;5.153;4.970;3.543;5.188;7.532;4.425;4.727;3.610;4.693;3.479;5.174;4.454;3.481;3.508;4.258;3.398;3.945;4.035;3.224;3.025;3.387;3.276;3.224;3.445;3.313;3.058;3.113;3.112;2.292;2.720;3.285;2.758;3.094;1.852;3.100;2.574;3.016;2.447;2.026;2.036;3.196;2.479;2.612;2.180;3.135;1.021;2.742;1.896;1.453;1.500;1.426;1.100;1.584;1.974;1.256;1.015;2.448;0.820;2.380;1.948;1.309;1.167;1.346;1.476;1.362;1.680;1.104;1.361;1.188;0.793;0.261;0.980;1.501;1.150;2.031;1.336;1.418;0.806;1.250;1.200;1.184;0.956;1.007;0.772;1.249;1.184;0.251;1.353;0.263;0.959;1.220;1.169;1.120;1.334;1.505;1.112;1.238;0.325;1.181;0.327;0.230;0.321;1.148;0.339;0.224;1.381;1.245;0.287;0.288;0.386;1.107;1.409;1.225;1.282;1.085;1.233;0.291;1.589;1.177;0.372;1.222;1.438;1.334;0.209;0.310;0.000;1.209;1.626;0.261;0.233
4869.684;4780.857;4873.881;4970.936;5040.587;5088.029;5135.237;5238.721;5274.802;5406.967;5460.955;5547.351;5664.262;5723.081;5883.029;6041.937;6089.897;6335.913;6393.646;6564.216;6585.727;7101.975;7222.701;7514.465;7720.904;8118.099;8580.679;9072.729;9850.576;10917.231;12161.254;13934.842;18200.569;18879.972;10652.967;1767.428;27.611;4.727;4.350;4.123;4.390;3.051;4.166;3.652;3.951;3.683;3.826;3.678;3.268;3.225;3.171;3.070;2.702;2.233;5.238;2.739;2.511;2.704;2.003;2.154;2.218;3.001;1.830;1.864;1.252;2.358;1.149;1.577;2.227;1.584;2.340;2.273;2.232;1.336;2.288;2.117;2.145;1.187;2.292;1.891;1.274;2.758;2.142;1.852;1.202;1.430;1.150;1.368;2.026;2.036;1.209;0.853;1.460;1.125;1.225;1.021;1.559;0.971;2.586;0.768;2.523;2.116;2.835;1.026;1.256;1.952;1.360;1.765;1.345;1.005;2.357;1.167;1.346;1.476;1.362;0.867;1.104;2.598;1.188;0.793;2.348;1.885;1.501;1.150;0.198;2.569;1.418;1.814;1.250;2.274;1.184;0.956;6.760;0.772;1.249;1.184;1.326;1.353;1.388;0.959;1.220;1.169;1.120;1.334;1.505;0.234;1.238;1.410;1.181;1.359;1.217;1.390;1.148;1.469;1.184;1.381;1.245;1.300;1.441;1.673;0.221;1.409;1.225;0.296;0.193;1.233;1.381;1.589;0.223;3.161;1.222;1.438;0.267;0.993;1.405;6.056;1.209;1.626;1.240;1.233
