2.261;4.098;5.935;7.772;9.609;11.446;13.283;15.120;16.957;18.793;20.630;22.467;24.304;26.141;27.978;29.815;31.652;33.489;35.326;37.162;38.999;40.836;42.673;44.510;46.347;48.184;50.021;51.858;53.695;55.531;57.368;59.205;61.042;62.879;64.716;66.553;68.390;70.227;72.064;73.900;75.737;77.574;79.411;81.248;83.085;84.922;86.759;88.596;90.433;92.269;94.106;95.943;97.780;99.617;101.454;103.291;105.128;106.965;108.802;110.638;112.475;114.312;116.149;117.986;119.823;121.660;123.497;125.334;127.171;129.007;130.844;132.681;134.518;136.355;138.192;140.029;141.866;143.703;145.540;147.376;149.213;151.050;152.887;154.724;156.561;158.398;160.235;162.072;163.909;165.745;167.582;169.419;171.256;173.093;174.930;176.767;178.604;180.441;182.278;184.114;185.951;187.788;189.625;191.462;193.299;195.136;196.973;198.810;200.647;202.483;204.320;206.157;207.994;209.831;211.668;213.505;215.342;217.179;219.016;220.852;222.689;224.526;226.363;228.200;230.037;231.874;233.711;235.548;237.385;239.221;241.058;242.895;244.732;246.569;248.406;250.243;252.080;253.917;255.754;257.590;259.427;261.264;263.101;264.938;266.775;268.612;270.449;272.286;274.123;275.959;277.796;279.633;281.470;283.307;285.144;286.981;288.818;290.655;292.492;294.328;296.165;298.002;299.839;301.676;303.513;305.350;307.187;309.024;310.861;312.697;314.534;316.371;318.208;320.045;321.882;323.719;325.556;327.393;329.230;331.066
4895.565;4763.194;4834.498;4892.568;4930.299;4922.825;4931.238;4978.766;4975.990;5034.864;5033.058;5041.934;5099.452;5066.854;5139.374;5194.439;5155.099;5251.988;5203.315;5221.596;5124.101;5369.051;5314.330;5357.805;5305.314;5338.824;5374.659;5360.217;5376.751;5540.199;5510.319;5387.360;5539.457;5558.309;5438.620;5602.552;5467.660;5594.455;5551.060;5609.372;5729.889;5614.422;5561.664;5800.747;5533.608;5735.474;5769.017;5822.604;5755.370;5776.973;5834.132;5853.995;5799.888;5881.077;5917.865;5855.781;6041.705;5921.063;5947.043;5936.515;6016.620;6069.844;5973.290;6134.895;6106.450;6108.448;6109.948;6135.748;6180.550;6159.230;6214.545;6297.191;6261.803;6333.106;6273.555;6424.778;6394.858;6394.283;6428.273;6426.267;6581.938;6638.953;6574.881;6622.130;6723.441;6611.046;6788.112;6805.589;6770.763;6877.925;6900.950;6948.533;7012.707;7104.347;7167.924;7274.442;7282.819;7326.707;7277.699;7593.638;7540.828;7660.083;7612.506;7915.722;7907.654;8032.678;8234.631;8342.597;8319.039;8547.054;8597.575;8872.024;9179.264;9139.509;9436.389;9745.727;10055.105;10296.895;10861.819;11178.542;11788.384;12425.895;13323.247;14383.881;15750.381;17277.230;18430.733;18924.378;16594.427;12671.477;8405.427;4167.536;1578.183;479.852;112.742;29.606;16.506;16.809;13.843;12.948;13.093;11.832;11.395;12.037;11.318;10.055;9.531;10.251;9.930;8.724;9.261;9.014;7.774;9.509;8.031;7.846;8.462;7.514;7.380;7.015;7.442;7.118;6.255;7.344;5.676;7.250;6.975;5.602;6.074;7.600;6.241;4.911;6.795;4.979;5.913;9.536;5.124;5.595;5.237;6.250
4879.790;4754.241;4822.791;4881.896;4914.349;4917.196;4920.704;4970.668;4967.445;5027.895;5028.170;5036.082;5089.160;5060.186;5138.302;5191.149;5150.397;5257.676;5200.943;5223.569;5127.130;5377.570;5322.117;5361.576;5313.216;5350.081;5387.646;5380.606;5397.402;5563.043;5531.557;5412.446;5566.419;5588.764;5472.481;5640.684;5502.628;5640.804;5598.587;5653.776;5781.900;5666.047;5614.591;5862.617;5595.288;5805.945;5841.570;5897.649;5837.851;5865.672;5925.299;5947.059;5899.866;5985.489;6014.218;5972.940;6164.677;6047.040;6078.872;6080.331;6161.505;6217.977;6132.623;6305.092;6280.764;6291.520;6300.986;6332.387;6392.933;6381.044;6443.958;6540.915;6517.772;6597.800;6551.241;6721.156;6701.660;6716.670;6769.519;6784.962;6956.010;7036.889;6988.997;7062.489;7188.405;7089.189;7307.590;7348.657;7336.929;7485.006;7540.830;7631.989;7745.620;7883.839;7996.670;8162.204;8228.607;8341.372;8346.741;8800.309;8819.656;9053.517;9103.385;9604.725;9752.352;10087.881;10551.825;10967.719;11254.020;11956.550;12534.787;13625.595;15017.487;16095.178;17733.634;18751.563;18124.693;15175.527;10984.582;6213.832;2718.055;869.841;199.098;40.865;15.909;12.596;13.171;12.917;10.472;9.919;10.274;9.702;10.547;9.169;8.656;8.708;7.904;7.395;8.216;7.870;8.213;7.644;7.714;6.773;7.706;5.664;6.478;5.912;6.099;5.627;5.313;4.739;4.981;4.990;5.151;5.749;4.424;4.475;3.921;4.440;3.898;3.781;4.295;4.387;3.893;3.357;3.706;4.348;3.212;2.022;3.308;3.791;2.526;3.411;2.628;0.000;2.260;3.062;2.300;3.250
4876.832;4741.932;4814.686;4876.076;4911.159;4910.440;4916.652;4966.619;4964.240;5026.900;5027.192;5038.423;5094.774;5066.854;5142.590;5196.633;5158.234;5266.778;5213.989;5241.329;5144.293;5395.554;5338.555;5387.974;5338.895;5381.037;5419.302;5411.634;5431.820;5601.117;5578.650;5452.801;5614.481;5644.597;5522.144;5700.606;5566.009;5707.215;5669.461;5727.359;5860.754;5751.464;5699.861;5959.720;5689.621;5911.216;5946.235;6015.256;5960.017;5992.673;6059.078;6093.303;6047.733;6138.168;6172.511;6142.357;6338.612;6231.928;6277.961;6285.781;6384.254;6444.533;6370.383;6562.444;6549.247;6570.287;6593.601;6639.635;6714.000;6723.126;6803.268;6922.048;6918.592;7025.950;6994.924;7204.769;7207.834;7251.736;7335.159;7384.719;7606.615;7725.670;7714.415;7845.167;8030.085;7971.122;8276.599;8388.368;8448.393;8706.460;8876.231;9086.668;9352.036;9672.768;9994.063;10415.154;10768.857;11227.201;11641.068;12775.958;13498.456;14779.600;16090.002;18243.934;18927.889;18062.221;14910.977;9991.809;5043.576;1926.957;491.672;95.793;23.487;17.826;14.930;12.369;12.583;15.153;12.210;11.009;11.880;11.055;11.557;10.432;9.497;11.363;10.840;9.893;9.458;8.845;9.273;8.846;13.423;7.787;8.656;8.708;7.904;8.571;7.090;7.024;6.262;6.597;5.874;6.773;6.502;6.542;6.478;5.912;6.099;5.627;6.300;6.877;5.912;6.119;5.151;4.701;5.434;5.488;5.074;5.727;4.784;4.893;5.275;4.387;4.784;4.330;4.796;4.348;5.120;6.206;4.286;3.791;4.660;4.195;4.818;12.248;4.169;4.328;3.279;4.250
4837.396;4707.240;4784.068;4843.092;4875.005;4874.412;4893.153;4937.262;4932.196;5001.016;4997.865;5011.500;5073.255;5057.223;5122.223;5177.989;5155.099;5255.401;5198.572;5236.396;5138.235;5399.340;5348.072;5352.148;5346.797;5396.046;5442.842;5439.116;5468.534;5617.615;5610.969;5490.975;5644.959;5688.249;5561.649;5765.975;5616.276;5790.920;5742.836;5794.599;5953.030;5844.390;5795.913;6076.586;5783.955;6039.108;6066.363;6150.784;6110.974;6145.880;6220.603;6269.935;6238.448;6339.113;6294.098;6368.246;6577.910;6489.321;6545.207;6582.690;6681.908;6746.608;6717.117;6939.015;6935.942;6981.158;7041.842;7096.821;7222.524;7275.500;7381.517;7553.925;7587.287;7750.430;7770.601;8063.794;8125.335;8247.768;8421.974;8575.122;8931.959;9182.334;9322.328;9645.001;10066.437;10217.706;10906.632;11408.172;11966.061;12934.149;14040.977;15566.900;17483.223;19012.960;18704.493;15739.778;10438.601;5235.406;1762.618;412.151;43.341;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
4856.128;4732.979;4802.979;4862.494;4902.652;4910.440;4914.221;4970.668;4967.445;5032.873;5036.968;5055.981;5110.679;5095.747;5166.173;5233.921;5198.989;5313.423;5266.169;5297.566;5201.839;5469.383;5419.016;5470.939;5427.786;5477.657;5528.882;5532.200;5563.376;5729.298;5720.852;5612.042;5780.940;5815.142;5711.766;5910.720;5773.634;5946.571;5909.598;5983.632;6142.616;6039.628;6001.739;6297.429;6018.579;6279.232;6335.163;6425.201;6390.322;6450.279;6544.644;6614.652;6587.952;6718.348;6757.507;6792.210;7043.212;6968.760;7058.176;7122.164;7271.305;7391.422;7381.691;7665.847;7719.352;7822.662;7942.984;8092.305;8296.405;8432.100;8671.052;8990.192;9170.724;9543.177;9754.366;10356.722;10742.341;11277.243;12010.223;12869.517;14337.914;16105.440;17971.170;19388.449;18415.860;13754.589;8146.962;3162.822;731.661;107.060;17.272;10.768;12.004;11.919;9.962;8.994;11.265;8.540;9.569;8.220;9.341;8.379;9.276;8.762;8.237;7.732;8.050;7.644;6.710;6.818;6.721;7.744;6.711;7.090;7.092;5.866;5.609;6.494;5.280;4.519;5.618;5.626;4.154;5.360;4.916;3.966;5.012;4.854;4.391;3.474;4.270;4.566;4.794;3.640;3.452;3.483;3.602;2.687;3.714;3.639;3.334;3.455;3.113;2.562;2.890;3.030;2.408;2.658;3.225;2.529;2.352;2.601;3.119;1.600;3.232;2.604;2.406;2.448;2.768;1.866;2.126;2.669;2.335;2.415;2.110;1.411;1.526;1.839;2.258;2.022;2.330;1.550;1.459;1.843;1.533;0.000;1.305;0.528;1.321;1.250
4845.283;4730.741;4798.477;4860.554;4902.652;4910.440;4919.083;4973.705;4972.785;5050.793;5051.631;5074.709;5131.261;5121.676;5200.475;5265.725;5235.041;5356.655;5313.606;5344.925;5256.355;5537.534;5485.634;5540.706;5502.849;5564.896;5621.416;5627.944;5669.691;5851.133;5849.203;5740.743;5922.781;5973.506;5874.300;6085.816;5953.941;6149.262;6118.884;6205.650;6384.212;6300.571;6269.312;6593.892;6320.930;6617.667;6696.735;6813.865;6805.064;6897.805;7028.229;7130.304;7140.773;7326.108;7399.855;7495.163;7822.038;7812.538;7967.529;8122.244;8375.190;8628.768;8735.604;9217.355;9456.476;9794.841;10209.350;10711.290;11390.419;12114.351;13225.804;14862.638;16877.578;19174.444;18871.898;15464.768;8906.372;3238.739;633.303;65.857;13.542;13.995;10.900;10.212;10.881;10.848;10.648;10.221;9.436;9.526;9.323;8.330;9.699;8.755;9.007;8.022;8.898;7.615;8.437;6.757;7.147;7.363;6.775;5.921;7.258;5.857;6.962;6.698;6.710;5.876;6.721;5.622;5.662;7.090;4.852;5.053;4.737;5.257;4.290;3.798;4.575;3.816;5.388;4.345;4.000;5.199;3.846;4.854;3.378;4.548;3.269;3.710;7.670;2.949;4.493;4.528;2.527;3.864;2.589;2.793;3.334;3.455;3.113;3.615;2.890;3.030;3.426;2.658;2.267;2.529;3.339;2.601;2.188;3.860;2.272;2.604;3.415;2.448;1.614;3.153;2.126;2.669;2.335;2.415;2.110;2.384;2.616;3.093;2.258;2.022;2.330;2.670;2.526;1.843;2.628;4.113;2.260;3.062;2.300;3.250
4843.311;4728.503;4794.875;4867.345;4907.969;4922.825;4929.618;4991.926;4992.012;5071.699;5079.003;5109.825;5168.685;5163.164;5246.568;5319.464;5294.606;5421.502;5383.576;5422.868;5340.150;5631.240;5586.860;5651.955;5624.333;5698.100;5760.217;5783.084;5837.194;6030.079;6036.651;5941.429;6140.818;6211.051;6119.228;6362.856;6234.782;6467.481;6456.577;6576.104;6783.516;6727.654;6722.128;7112.917;6843.393;7214.496;7342.569;7528.469;7569.185;7744.477;7959.724;8171.104;8274.980;8608.611;8824.492;9113.473;9704.295;9957.780;10456.144;11068.139;11954.934;13101.802;14430.297;17078.491;19284.153;18803.827;14123.305;7169.332;2056.527;265.324;21.422;10.515;9.409;9.983;9.734;7.966;8.162;8.132;8.721;7.041;8.514;9.127;8.044;6.944;7.085;8.560;6.917;8.061;6.714;5.879;6.342;5.892;6.242;6.645;5.188;5.105;6.530;5.765;6.172;4.561;6.050;5.332;5.524;4.973;5.301;3.983;4.787;3.861;4.640;3.990;4.626;4.562;4.614;4.406;4.852;3.428;3.865;5.257;4.290;3.077;3.531;2.911;4.154;4.345;3.084;3.966;3.846;3.846;3.378;3.474;3.269;2.853;7.670;2.258;2.411;2.438;3.602;3.864;3.714;2.793;3.334;3.455;2.193;2.562;4.094;2.151;2.408;2.658;3.225;2.529;2.352;2.601;3.119;1.600;2.272;2.604;2.406;2.448;2.768;1.866;3.012;2.669;1.356;2.415;2.110;2.384;2.616;1.839;2.258;3.417;2.330;2.670;2.526;1.843;2.628;4.113;2.260;1.795;2.300;2.250
4838.381;4728.503;4799.377;4876.076;4918.603;4935.210;4951.496;5020.270;5020.852;5112.517;5122.016;5157.817;5219.206;5229.099;5316.244;5400.620;5378.466;5518.205;5487.937;5547.183;5461.299;5777.006;5740.861;5816.000;5800.139;5894.154;5975.318;6012.691;6085.008;6304.209;6338.599;6259.910;6487.803;6594.779;6522.175;6828.221;6723.249;7020.904;7051.083;7233.279;7519.209;7526.440;7591.495;8132.921;7914.925;8476.015;8769.828;9172.730;9439.804;9940.784;10569.892;11333.390;12113.641;13577.078;15459.035;18280.524;19784.728;15784.465;8618.605;2482.958;256.703;16.725;8.641;7.797;7.480;6.761;6.974;6.759;5.484;6.061;5.709;5.500;5.440;5.765;5.636;6.084;5.259;5.245;4.584;5.385;4.492;4.259;4.236;3.676;5.187;2.841;5.052;3.743;4.900;4.056;4.355;3.454;3.937;3.481;3.278;4.133;2.979;2.991;2.775;3.098;1.663;2.285;1.772;3.079;1.386;3.046;2.611;3.861;1.535;2.105;1.484;1.379;1.468;1.722;1.493;1.802;1.250;0.309;1.320;1.634;1.444;1.101;0.452;0.287;1.252;0.267;0.350;0.823;0.338;0.251;0.267;0.285;0.000;1.567;0.330;0.348;0.000;0.333;0.000;0.254;0.407;0.000;0.353;0.000;0.000;0.395;0.373;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.376;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.250
4846.269;4741.932;4820.089;4894.508;4941.996;4970.112;4991.202;5062.786;5076.395;5174.241;5194.356;5236.243;5309.958;5329.113;5430.941;5524.548;5518.757;5676.343;5656.338;5726.750;5658.165;6006.066;5988.300;6085.637;6089.528;6213.093;6330.032;6398.324;6519.447;6787.744;6868.624;6827.068;7131.364;7318.582;7319.040;7735.605;7713.296;8182.402;8364.333;8744.274;9326.983;9591.457;10033.957;11239.336;11595.141;13451.619;15756.256;19048.378;18876.937;13318.400;5302.981;743.058;28.873;5.401;5.965;4.580;4.967;4.652;3.961;3.634;4.386;3.655;3.687;2.864;2.471;3.641;3.246;1.843;3.490;2.461;2.567;2.491;2.464;1.547;1.537;1.380;2.355;2.358;2.516;2.071;2.480;3.042;1.380;2.042;1.392;2.841;1.321;1.583;1.270;2.233;1.374;1.829;2.785;1.371;1.369;1.215;1.795;1.141;1.642;0.903;1.663;1.270;1.772;0.237;1.386;1.171;0.435;1.024;1.535;1.163;1.484;1.379;1.468;1.722;1.493;0.989;1.250;1.546;0.330;0.913;0.400;1.101;0.452;1.302;1.252;1.500;1.515;0.823;1.351;1.325;0.267;1.141;0.000;0.184;1.370;1.393;1.452;0.333;1.463;1.100;0.407;1.361;1.273;1.509;0.482;0.395;0.373;1.573;1.309;1.497;1.365;1.532;0.326;1.600;1.312;0.507;1.396;1.435;1.614;1.866;0.354;0.445;0.376;0.444;1.218;1.411;0.436;0.585;0.350;0.628;1.352;0.430;1.459;1.059;0.438;1.401;1.305;1.795;0.343;1.250
4857.114;4760.956;4846.205;4927.492;4987.720;5020.776;5052.787;5136.683;5157.574;5266.827;5302.866;5359.149;5451.230;5483.949;5605.666;5726.342;5734.286;5922.082;5925.542;6029.644;5986.276;6379.946;6404.449;6553.261;6606.082;6794.688;6990.758;7137.677;7373.791;7764.967;7994.234;8094.447;8642.386;9103.218;9413.914;10373.711;10929.309;12479.044;14263.537;17715.091;19756.708;14166.409;5257.827;507.381;10.260;5.568;4.084;4.966;5.006;3.477;4.360;4.242;3.669;3.431;0.000;3.737;2.751;4.652;3.064;2.971;2.415;5.107;2.862;2.864;1.469;2.600;2.314;1.843;2.493;2.461;1.519;2.491;1.472;1.547;1.537;1.380;2.355;1.395;1.482;1.243;1.475;1.825;1.380;1.225;2.341;1.697;2.254;0.504;1.270;1.322;1.374;1.016;0.480;1.371;1.369;1.215;1.795;1.141;0.510;0.903;0.567;0.254;0.521;0.237;0.408;0.234;0.435;1.024;0.500;0.220;0.436;0.318;0.419;0.380;0.373;0.176;0.378;0.309;0.330;0.192;0.400;0.196;0.452;0.287;0.336;0.267;0.350;0.823;0.338;0.251;0.267;0.285;0.000;0.875;0.330;0.348;0.376;0.333;0.338;0.254;0.000;0.314;0.353;0.456;0.482;0.000;0.000;0.000;0.351;0.000;0.378;0.000;0.000;0.000;0.352;0.507;0.387;0.422;0.461;0.000;0.000;0.445;0.376;0.444;0.327;0.000;0.436;0.000;0.000;0.000;0.375;0.430;0.391;0.274;0.438;0.000;0.000;0.000;0.343;0.000
