Measurement: #3
Date: 2025-06-13T15:49:50.3296999+02:00
MLIC serial number: 26688
Comments: 
Calibration info: [2023-12-05 19:42:27]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: 30 [cm]
Snout distance: 42 [cm]
FieldSize: 10 [cm]
SSD: 228 [cm]
Beam delivery mode: PencilBeamScanning
Sampling time: 1000 [ms]
Number of samples: 38
Measurement mode: MovieMode
Measurement time: 60 [s]
Build-up thickness: 0 [cm]
Build-up density: 0 [g/cm^3]
Bragg Peak type: Unknown
Channel count (active): 180
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 

Curves: 19
Curve depth: [mm]
2.261;4.098;5.935;7.772;9.609;11.446;13.283;15.120;16.957;18.793;20.630;22.467;24.304;26.141;27.978;29.815;31.652;33.489;35.326;37.162;38.999;40.836;42.673;44.510;46.347;48.184;50.021;51.858;53.695;55.531;57.368;59.205;61.042;62.879;64.716;66.553;68.390;70.227;72.064;73.900;75.737;77.574;79.411;81.248;83.085;84.922;86.759;88.596;90.433;92.269;94.106;95.943;97.780;99.617;101.454;103.291;105.128;106.965;108.802;110.638;112.475;114.312;116.149;117.986;119.823;121.660;123.497;125.334;127.171;129.007;130.844;132.681;134.518;136.355;138.192;140.029;141.866;143.703;145.540;147.376;149.213;151.050;152.887;154.724;156.561;158.398;160.235;162.072;163.909;165.745;167.582;169.419;171.256;173.093;174.930;176.767;178.604;180.441;182.278;184.114;185.951;187.788;189.625;191.462;193.299;195.136;196.973;198.810;200.647;202.483;204.320;206.157;207.994;209.831;211.668;213.505;215.342;217.179;219.016;220.852;222.689;224.526;226.363;228.200;230.037;231.874;233.711;235.548;237.385;239.221;241.058;242.895;244.732;246.569;248.406;250.243;252.080;253.917;255.754;257.590;259.427;261.264;263.101;264.938;266.775;268.612;270.449;272.286;274.123;275.959;277.796;279.633;281.470;283.307;285.144;286.981;288.818;290.655;292.492;294.328;296.165;298.002;299.839;301.676;303.513;305.350;307.187;309.024;310.861;312.697;314.534;316.371;318.208;320.045;321.882;323.719;325.556;327.393;329.230;331.066
Curve gains: [counts]
4866.973;4726.265;4817.388;4876.076;4901.589;4895.804;4923.135;4958.520;4939.673;5015.949;5004.708;5000.966;5065.771;5058.705;5093.281;5153.861;5124.533;5200.792;5130.974;5183.118;5068.575;5326.457;5266.745;5205.073;5241.115;5279.727;5321.086;5302.593;5321.681;5443.746;5427.215;5294.652;5423.405;5460.855;5314.463;5515.393;5339.806;5501.065;5440.997;5450.787;5599.025;5473.625;5409.745;5658.960;5346.150;5579.741;5570.390;5636.672;5577.957;5582.440;5624.050;5646.024;5585.649;5649.596;5518.692;5620.621;5766.955;5656.419;5673.519;5672.743;5713.052;5698.059;5664.532;5804.367;5755.820;5740.225;5738.122;5727.723;5777.720;5765.295;5779.811;5844.848;5797.487;5853.283;5775.564;5917.643;5860.617;5849.593;5859.530;5855.504;5968.539;5984.246;5919.911;5958.732;6016.506;5878.962;6036.408;6015.279;5961.437;6042.961;6038.503;6055.409;6065.451;6114.951;6150.132;6195.127;6155.924;6170.526;6076.159;6321.108;6211.548;6259.539;6155.398;6366.917;6311.525;6344.843;6433.095;6449.407;6355.831;6444.045;6388.588;6485.161;6616.653;6417.901;6537.393;6612.097;6665.460;6581.020;6769.084;6730.854;6783.057;6810.757;6848.156;6888.263;6960.659;6987.247;7038.210;7261.051;7119.329;7033.614;7366.666;7233.907;6939.787;7428.118;7516.323;7546.808;7618.954;7728.684;7793.066;8026.951;8056.109;7928.978;8329.923;8194.300;8533.623;8645.695;8732.011;8788.008;9124.412;9172.340;9569.104;9856.735;10174.124;10347.817;10770.279;11165.119;11609.904;12508.610;12831.631;13931.847;15211.553;16486.980;17659.042;18689.817;17486.635;15367.805;10934.198;6762.714;3321.362;1259.870;382.655;47.489;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
63.592;74.269;53.596;54.633;70.784;74.796;44.176;60.062;72.153;58.123;62.124;76.533;57.601;35.042;72.338;68.434;42.740;74.404;87.244;56.600;65.134;54.284;49.747;170.582;61.746;53.813;45.022;47.340;0.000;85.518;55.865;68.077;83.835;60.249;82.922;36.848;75.947;31.165;47.082;86.820;47.354;53.894;62.205;43.352;91.290;45.589;87.340;67.690;41.578;59.922;63.817;52.673;47.357;62.533;253.728;48.409;74.762;54.500;55.078;32.132;61.551;121.290;45.791;46.441;63.581;70.212;57.296;91.560;63.316;37.029;69.610;63.672;64.968;70.093;70.190;58.774;61.393;61.061;67.663;47.633;63.820;88.227;61.356;46.160;58.326;81.768;59.145;73.921;58.431;56.925;60.991;45.713;82.299;66.768;54.836;60.529;82.288;54.788;74.120;37.490;71.856;64.238;85.571;57.074;58.146;55.527;66.796;56.818;64.664;56.778;61.186;69.272;64.380;99.689;70.917;44.884;47.456;90.608;54.781;36.247;63.019;51.778;80.651;63.182;51.636;86.572;71.451;62.299;60.127;70.079;56.308;47.368;358.591;31.978;59.658;66.179;68.121;78.005;70.117;45.105;57.006;65.235;48.203;66.782;82.357;46.059;58.374;69.912;54.952;61.376;53.675;66.735;51.535;70.515;52.186;66.563;60.948;58.171;74.263;91.961;48.194;69.398;55.250;59.590;49.358;53.959;64.739;87.118;53.776;101.032;53.171;72.140;36.678;17.525;19.052;42.077;16.582;19.531;16.004;16.250
4565.283;4428.591;4522.015;4578.252;4587.900;4581.684;4625.746;4651.797;4621.367;4704.343;4694.819;4684.922;4757.029;4763.849;4773.844;4829.236;4825.143;4879.966;4810.775;4863.450;4757.627;5009.370;4954.418;4827.957;4921.108;4971.106;5006.146;4995.859;5020.328;5104.890;5114.186;4982.715;5094.005;5144.127;5000.683;5211.116;5023.996;5203.600;5138.324;5134.887;5289.480;5176.075;5103.948;5353.904;5032.915;5285.677;5246.879;5319.693;5285.381;5285.097;5321.809;5351.637;5299.156;5349.163;5108.047;5330.673;5458.969;5370.931;5385.647;5406.983;5427.224;5388.723;5399.528;5538.794;5479.322;5463.538;5477.192;5437.680;5515.481;5521.156;5521.066;5590.091;5545.486;5592.807;5534.766;5664.546;5621.564;5612.855;5624.795;5629.352;5732.229;5738.426;5703.809;5746.314;5808.696;5662.768;5833.093;5801.507;5777.251;5854.274;5850.712;5886.373;5877.613;5945.130;5987.820;6036.633;5991.387;6033.634;5932.336;6208.418;6083.227;6142.742;6036.578;6277.872;6221.492;6271.744;6356.943;6392.668;6304.086;6410.110;6363.450;6473.492;6610.362;6419.243;6557.548;6678.752;6736.077;6660.186;6875.016;6875.793;6937.516;6995.364;7040.632;7126.654;7231.817;7278.217;7370.405;7659.134;7543.935;7493.409;7903.059;7822.013;7411.516;8169.737;8313.616;8460.073;8613.617;8869.048;9060.341;9504.506;9700.429;9749.891;10485.011;10615.710;11423.356;12041.466;12772.720;13627.056;15097.919;16153.454;17426.415;17431.987;15830.372;12268.386;8231.379;4439.929;1907.045;638.698;85.795;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
