Measurement: #2
Date: 2025-06-13T15:45:47.3780471+02:00
MLIC serial number: 26688
Comments: 
Calibration info: [2023-12-05 19:42:27]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: 30 [cm]
Snout distance: 42 [cm]
FieldSize: 10 [cm]
SSD: 228 [cm]
Beam delivery mode: PencilBeamScanning
Sampling time: 1000 [ms]
Number of samples: 37
Measurement mode: MovieMode
Measurement time: 60 [s]
Build-up thickness: 0 [cm]
Build-up density: 0 [g/cm^3]
Bragg Peak type: Unknown
Channel count (active): 180
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 

Curves: 18
Curve depth: [mm]
2.261;4.098;5.935;7.772;9.609;11.446;13.283;15.120;16.957;18.793;20.630;22.467;24.304;26.141;27.978;29.815;31.652;33.489;35.326;37.162;38.999;40.836;42.673;44.510;46.347;48.184;50.021;51.858;53.695;55.531;57.368;59.205;61.042;62.879;64.716;66.553;68.390;70.227;72.064;73.900;75.737;77.574;79.411;81.248;83.085;84.922;86.759;88.596;90.433;92.269;94.106;95.943;97.780;99.617;101.454;103.291;105.128;106.965;108.802;110.638;112.475;114.312;116.149;117.986;119.823;121.660;123.497;125.334;127.171;129.007;130.844;132.681;134.518;136.355;138.192;140.029;141.866;143.703;145.540;147.376;149.213;151.050;152.887;154.724;156.561;158.398;160.235;162.072;163.909;165.745;167.582;169.419;171.256;173.093;174.930;176.767;178.604;180.441;182.278;184.114;185.951;187.788;189.625;191.462;193.299;195.136;196.973;198.810;200.647;202.483;204.320;206.157;207.994;209.831;211.668;213.505;215.342;217.179;219.016;220.852;222.689;224.526;226.363;228.200;230.037;231.874;233.711;235.548;237.385;239.221;241.058;242.895;244.732;246.569;248.406;250.243;252.080;253.917;255.754;257.590;259.427;261.264;263.101;264.938;266.775;268.612;270.449;272.286;274.123;275.959;277.796;279.633;281.470;283.307;285.144;286.981;288.818;290.655;292.492;294.328;296.165;298.002;299.839;301.676;303.513;305.350;307.187;309.024;310.861;312.697;314.534;316.371;318.208;320.045;321.882;323.719;325.556;327.393;329.230;331.066
Curve gains: [counts]
4894.579;4776.623;4845.304;4909.059;4949.440;4953.224;4949.065;5001.036;4996.284;5058.757;5050.654;5067.686;5113.485;5080.189;5152.238;5209.793;5160.586;5266.778;5204.501;5228.503;5122.082;5370.944;5308.274;5369.118;5297.413;5324.754;5355.178;5339.827;5356.100;5519.893;5476.154;5352.458;5505.462;5516.688;5394.601;5544.965;5410.836;5525.277;5479.352;5531.983;5642.647;5522.435;5465.612;5693.333;5435.646;5622.372;5653.647;5697.156;5615.307;5636.869;5681.525;5690.657;5627.656;5704.757;5773.337;5661.921;5836.750;5705.360;5721.050;5695.939;5770.217;5817.147;5705.810;5845.478;5814.926;5805.756;5790.308;5813.752;5835.552;5793.381;5846.854;5906.029;5857.014;5918.665;5834.995;5966.569;5913.848;5905.409;5916.405;5891.953;6024.851;6065.780;5972.271;5993.046;6063.952;5953.314;6083.039;6082.218;6008.617;6085.803;6084.209;6090.353;6131.137;6166.636;6191.187;6242.772;6225.763;6207.523;6136.179;6345.988;6266.386;6311.335;6230.442;6409.544;6355.563;6384.204;6482.050;6485.341;6401.367;6481.750;6432.579;6537.141;6659.643;6497.080;6586.661;6636.483;6690.743;6647.816;6798.785;6740.949;6817.497;6834.285;6904.912;6923.768;6981.729;7043.962;7080.172;7288.261;7145.677;7069.065;7385.680;7242.467;7261.943;7414.295;7529.854;7569.796;7637.234;7751.044;7808.822;8014.257;8049.278;7925.837;8303.238;8183.772;8532.419;8598.275;8692.326;8752.212;9060.233;9105.233;9477.315;9754.121;10038.188;10211.118;10580.221;10948.076;11340.408;12156.038;12422.261;13400.287;14494.846;15695.128;16963.317;18493.647;18208.731;17258.559;13576.087;9472.832;5299.087;2449.386;900.835;270.463;76.166;26.150;22.337;52.924;19.447;22.064;16.983;18.250
4890.635;4767.670;4843.503;4898.388;4939.870;4937.461;4946.634;4990.914;4987.739;5049.797;5047.721;5053.640;5108.807;5075.744;5151.166;5196.633;5161.369;5261.089;5208.059;5223.569;5122.082;5371.891;5314.330;5354.033;5298.400;5331.320;5363.295;5345.146;5372.926;5519.893;5488.158;5360.093;5513.668;5526.839;5409.274;5558.973;5425.042;5544.647;5502.699;5554.819;5664.457;5549.655;5494.036;5723.409;5461.044;5652.823;5681.003;5722.918;5652.657;5675.171;5727.109;5732.441;5675.545;5751.053;5793.984;5714.179;5889.928;5766.990;5782.032;5762.876;5833.296;5885.404;5775.982;5922.765;5887.056;5881.689;5875.111;5889.950;5927.285;5888.444;5937.991;6002.315;5959.204;6016.739;5952.832;6073.829;6036.762;6022.816;6044.630;6024.496;6156.581;6200.859;6121.733;6145.824;6221.470;6105.451;6247.183;6242.007;6189.173;6263.552;6269.019;6278.893;6327.041;6374.430;6404.102;6462.525;6449.485;6445.234;6373.996;6605.031;6527.416;6577.429;6505.604;6708.885;6650.128;6696.280;6807.327;6824.830;6747.024;6844.663;6801.267;6930.709;7067.522;6913.105;7021.119;7097.383;7165.014;7147.555;7324.485;7288.257;7391.503;7436.974;7526.758;7581.118;7678.861;7773.853;7855.292;8130.786;8010.090;7966.096;8371.402;8270.583;8297.446;8596.876;8790.326;8934.470;9092.130;9358.616;9538.664;9946.249;10160.058;10191.768;10905.538;11030.508;11835.143;12362.866;13041.355;13825.565;15215.741;16335.157;17953.459;18752.071;18150.598;15439.583;11556.426;7150.346;3612.842;1518.101;477.868;134.435;36.677;18.239;15.074;14.244;13.699;14.061;13.515;14.380;11.798;13.178;11.129;11.634;11.064;9.684;10.292;12.248;8.944;10.663;10.131;11.250
4881.762;4760.956;4834.498;4889.657;4931.363;4930.706;4940.152;4981.803;4979.194;5043.824;5037.945;5047.787;5101.323;5070.558;5142.590;5191.149;5152.748;5255.401;5203.315;5219.623;5124.101;5370.944;5315.195;5350.262;5301.363;5333.196;5370.600;5354.011;5376.751;5528.777;5496.469;5369.909;5526.563;5541.052;5426.204;5578.428;5447.990;5566.784;5526.879;5576.386;5696.335;5577.815;5520.499;5757.781;5490.069;5692.843;5721.442;5768.841;5697.788;5721.536;5772.693;5784.671;5731.835;5808.185;5844.454;5778.237;5954.184;5831.338;5853.776;5836.441;5912.145;5959.470;5860.189;6012.386;5981.225;5976.346;5973.892;5995.643;6033.975;6001.512;6057.412;6126.685;6084.212;6149.613;6085.015;6220.607;6184.840;6173.905;6202.844;6188.518;6332.556;6377.314;6301.660;6337.000;6422.638;6310.206;6461.689;6465.497;6415.095;6506.019;6514.438;6539.760;6589.784;6656.060;6692.445;6771.734;6758.434;6777.290;6702.409;6971.643;6894.833;6969.459;6895.834;7138.004;7089.528;7163.926;7294.699;7344.937;7273.789;7410.241;7382.579;7553.415;7730.194;7598.875;7738.870;7872.865;7980.168;8004.779;8250.151;8270.383;8439.323;8557.286;8730.967;8889.732;9084.117;9308.843;9522.093;10014.374;10025.701;10170.535;10928.276;11084.419;11507.505;12320.864;13180.641;14170.597;15376.247;16929.269;18083.204;18795.503;17411.654;14007.411;10209.874;5788.681;2789.074;1036.602;302.587;75.336;25.257;15.951;14.196;14.359;14.292;12.898;12.830;12.040;12.499;11.567;11.993;12.163;10.099;10.454;9.195;9.316;8.350;9.196;8.065;8.110;8.936;8.995;8.196;7.152;8.929;6.547;8.103;12.248;7.034;8.129;6.216;8.250
