Measurement: #6
Date: 2025-06-13T16:13:13.7292124+02:00
MLIC serial number: 26688
Comments: 
Calibration info: [2023-12-05 19:42:27]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: 30 [cm]
Snout distance: 42 [cm]
FieldSize: 10 [cm]
SSD: 228 [cm]
Beam delivery mode: PencilBeamScanning
Sampling time: 1000 [ms]
Number of samples: 38
Measurement mode: MovieMode
Measurement time: 60 [s]
Build-up thickness: 0 [cm]
Build-up density: 0 [g/cm^3]
Bragg Peak type: Unknown
Channel count (active): 180
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 

Curves: 17
Curve depth: [mm]
2.261;4.098;5.935;7.772;9.609;11.446;13.283;15.120;16.957;18.793;20.630;22.467;24.304;26.141;27.978;29.815;31.652;33.489;35.326;37.162;38.999;40.836;42.673;44.510;46.347;48.184;50.021;51.858;53.695;55.531;57.368;59.205;61.042;62.879;64.716;66.553;68.390;70.227;72.064;73.900;75.737;77.574;79.411;81.248;83.085;84.922;86.759;88.596;90.433;92.269;94.106;95.943;97.780;99.617;101.454;103.291;105.128;106.965;108.802;110.638;112.475;114.312;116.149;117.986;119.823;121.660;123.497;125.334;127.171;129.007;130.844;132.681;134.518;136.355;138.192;140.029;141.866;143.703;145.540;147.376;149.213;151.050;152.887;154.724;156.561;158.398;160.235;162.072;163.909;165.745;167.582;169.419;171.256;173.093;174.930;176.767;178.604;180.441;182.278;184.114;185.951;187.788;189.625;191.462;193.299;195.136;196.973;198.810;200.647;202.483;204.320;206.157;207.994;209.831;211.668;213.505;215.342;217.179;219.016;220.852;222.689;224.526;226.363;228.200;230.037;231.874;233.711;235.548;237.385;239.221;241.058;242.895;244.732;246.569;248.406;250.243;252.080;253.917;255.754;257.590;259.427;261.264;263.101;264.938;266.775;268.612;270.449;272.286;274.123;275.959;277.796;279.633;281.470;283.307;285.144;286.981;288.818;290.655;292.492;294.328;296.165;298.002;299.839;301.676;303.513;305.350;307.187;309.024;310.861;312.697;314.534;316.371;318.208;320.045;321.882;323.719;325.556;327.393;329.230;331.066
Curve gains: [counts]
4926.128;4795.647;4868.718;4928.462;4965.390;4966.734;4962.031;5016.221;5011.238;5070.704;5062.385;5078.221;5121.906;5089.079;5158.669;5219.664;5165.288;5274.742;5215.175;5241.329;5133.188;5378.516;5315.195;5380.432;5299.388;5330.382;5360.860;5346.032;5353.040;5527.508;5482.618;5359.002;5507.807;5521.764;5394.601;5551.191;5411.928;5529.428;5483.521;5537.057;5646.002;5525.251;5470.513;5697.629;5438.065;5624.982;5654.837;5702.757;5613.750;5636.869;5684.498;5695.405;5632.697;5708.697;5773.337;5662.764;5838.966;5708.079;5724.637;5698.590;5772.188;5822.956;5708.287;5849.589;5817.931;5809.917;5794.968;5819.897;5839.540;5799.863;5846.854;5908.035;5860.983;5920.774;5840.119;5973.155;5919.655;5906.371;5924.677;5899.409;6029.879;6070.648;5977.982;6002.033;6076.287;5957.890;6087.702;6086.537;6016.783;6093.095;6092.157;6093.604;6141.508;6179.294;6197.870;6250.551;6236.416;6217.698;6144.106;6355.501;6279.548;6323.523;6239.197;6422.806;6364.371;6395.450;6496.192;6502.363;6416.890;6496.832;6447.243;6555.175;6675.371;6514.526;6600.098;6653.553;6704.692;6668.845;6819.575;6759.698;6843.588;6856.004;6929.589;6946.085;7007.379;7072.319;7110.477;7322.527;7176.078;7101.294;7420.705;7279.277;7307.966;7456.456;7574.611;7616.818;7683.473;7808.709;7861.719;8071.802;8113.685;7989.710;8369.491;8260.625;8615.499;8687.845;8788.994;8856.347;9175.182;9229.122;9619.440;9919.800;10219.746;10415.602;10820.193;11230.127;11667.437;12561.293;12910.046;14028.378;15266.480;16558.158;17719.795;18731.220;17501.791;15364.885;10941.827;6797.828;3336.627;1343.540;428.607;119.200;36.678;18.309;19.052;44.789;17.537;19.531;16.004;18.250
4922.184;4797.885;4868.718;4924.581;4964.327;4956.601;4962.031;5008.122;5003.761;5065.726;5065.317;5074.709;5122.841;5088.338;5166.173;5213.083;5169.207;5274.742;5227.034;5233.436;5139.245;5382.303;5322.117;5378.546;5310.253;5343.515;5370.600;5355.784;5366.808;5533.853;5493.698;5375.363;5527.735;5534.961;5421.689;5565.198;5438.155;5549.489;5508.535;5564.968;5671.168;5560.919;5500.897;5729.424;5471.928;5659.783;5696.465;5737.479;5659.660;5684.242;5733.055;5740.038;5683.947;5758.933;5828.395;5719.236;5901.006;5772.427;5787.413;5766.190;5841.181;5898.475;5786.715;5925.232;5899.077;5891.051;5885.362;5902.240;5932.271;5894.206;5951.609;6013.348;5966.149;6028.339;5963.079;6083.238;6046.440;6032.439;6057.039;6031.123;6166.636;6216.679;6130.301;6151.542;6230.959;6122.609;6256.510;6257.123;6200.061;6276.313;6279.948;6290.270;6340.870;6393.417;6415.560;6479.055;6468.424;6465.583;6390.983;6618.935;6546.061;6594.694;6526.867;6727.831;6672.636;6717.835;6833.436;6850.362;6773.931;6870.114;6830.595;6959.351;7096.881;6949.339;7047.992;7127.459;7195.528;7187.138;7362.105;7322.149;7435.336;7475.886;7579.812;7633.868;7728.329;7833.033;7913.572;8195.286;8074.946;8036.999;8448.458;8347.628;8435.513;8689.491;8892.330;9051.502;9220.092;9505.722;9696.229;10122.270;10358.157;10423.178;11171.473;11343.186;12222.849;12824.768;13620.344;14543.666;16076.899;17200.311;18522.944;18536.154;16776.339;13027.575;8731.480;4756.581;2092.765;763.314;214.948;64.933;24.274;20.464;18.014;19.173;16.373;17.954;16.784;19.397;15.614;20.151;16.018;17.237;16.400;12.036;14.672;36.653;13.718;16.997;13.068;13.250
4903.452;4774.385;4845.304;4904.209;4941.996;4931.832;4943.393;4984.840;4983.467;5043.824;5041.856;5047.787;5104.130;5071.299;5147.950;5194.439;5155.099;5254.263;5206.873;5219.623;5126.121;5366.212;5311.734;5354.033;5299.388;5329.444;5364.918;5352.238;5368.337;5528.777;5496.469;5371.000;5521.874;5539.021;5418.303;5577.650;5442.526;5564.709;5519.375;5573.849;5688.785;5575.938;5518.539;5752.625;5492.488;5687.623;5719.063;5762.120;5695.454;5718.512;5768.729;5780.873;5727.635;5809.170;5846.748;5773.180;5950.860;5830.431;5850.189;5834.453;5910.174;5956.566;5857.712;6010.742;5978.220;5976.346;5972.960;5988.269;6033.975;5999.351;6055.317;6123.676;6085.204;6148.558;6086.040;6219.666;6184.840;6175.829;6203.878;6188.518;6331.550;6377.314;6306.420;6339.451;6426.434;6312.493;6469.151;6470.895;6422.354;6510.577;6523.381;6549.512;6593.241;6668.718;6703.902;6783.402;6770.271;6793.014;6721.661;6987.010;6906.897;6991.803;6917.097;7157.897;7112.036;7187.355;7324.072;7374.252;7300.696;7442.291;7418.191;7588.422;7763.747;7645.845;7782.539;7924.889;8029.862;8067.865;8312.523;8336.002;8509.248;8638.731;8825.971;8986.103;9194.962;9437.067;9665.461;10174.615;10204.056;10384.318;11184.464;11377.188;11890.066;12783.253;13765.600;14907.270;16239.721;17766.007;18466.988;18199.742;15622.908;11403.266;7373.844;3645.206;1505.551;478.982;122.480;30.861;15.678;12.853;13.209;12.221;10.568;10.638;10.911;8.895;9.471;8.527;8.533;8.302;8.328;7.118;7.235;6.358;6.567;6.277;6.975;5.602;6.074;4.811;6.241;3.791;5.728;5.763;5.913;0.000;4.169;4.328;4.258;5.250
