2.261;4.098;5.935;7.772;9.609;11.446;13.283;15.120;16.957;18.793;20.630;22.467;24.304;26.141;27.978;29.815;31.652;33.489;35.326;37.162;38.999;40.836;42.673;44.510;46.347;48.184;50.021;51.858;53.695;55.531;57.368;59.205;61.042;62.879;64.716;66.553;68.390;70.227;72.064;73.900;75.737;77.574;79.411;81.248;83.085;84.922;86.759;88.596;90.433;92.269;94.106;95.943;97.780;99.617;101.454;103.291;105.128;106.965;108.802;110.638;112.475;114.312;116.149;117.986;119.823;121.660;123.497;125.334;127.171;129.007;130.844;132.681;134.518;136.355;138.192;140.029;141.866;143.703;145.540;147.376;149.213;151.050;152.887;154.724;156.561;158.398;160.235;162.072;163.909;165.745;167.582;169.419;171.256;173.093;174.930;176.767;178.604;180.441;182.278;184.114;185.951;187.788;189.625;191.462;193.299;195.136;196.973;198.810;200.647;202.483;204.320;206.157;207.994;209.831;211.668;213.505;215.342;217.179;219.016;220.852;222.689;224.526;226.363;228.200;230.037;231.874;233.711;235.548;237.385;239.221;241.058;242.895;244.732;246.569;248.406;250.243;252.080;253.917;255.754;257.590;259.427;261.264;263.101;264.938;266.775;268.612;270.449;272.286;274.123;275.959;277.796;279.633;281.470;283.307;285.144;286.981;288.818;290.655;292.492;294.328;296.165;298.002;299.839;301.676;303.513;305.350;307.187;309.024;310.861;312.697;314.534;316.371;318.208;320.045;321.882;323.719;325.556;327.393;329.230;331.066
4899.508;4769.908;4849.807;4901.299;4947.313;4943.091;4949.065;4995.975;4994.148;5058.757;5057.497;5063.004;5119.099;5088.338;5165.101;5214.180;5175.477;5280.430;5223.476;5243.302;5150.350;5399.340;5341.150;5380.432;5328.031;5367.904;5403.068;5390.358;5416.523;5569.389;5541.715;5414.627;5572.280;5592.824;5470.224;5631.345;5496.072;5626.277;5581.911;5632.208;5757.572;5643.520;5588.128;5825.667;5561.424;5770.274;5798.752;5850.606;5786.495;5808.219;5860.887;5877.735;5830.133;5910.627;5943.100;5885.282;6071.617;5950.065;5975.740;5967.664;6047.174;6100.342;6002.185;6162.850;6132.497;6135.493;6141.633;6160.328;6208.469;6188.037;6240.733;6326.278;6293.551;6360.524;6303.270;6453.005;6418.086;6418.341;6454.125;6451.948;6607.077;6664.509;6597.729;6645.006;6746.215;6631.636;6815.158;6828.262;6787.095;6897.067;6918.835;6963.161;7032.297;7122.279;7182.245;7284.166;7294.656;7335.032;7283.361;7605.346;7543.021;7659.067;7611.256;7910.986;7900.803;8018.620;8219.401;8325.575;8292.132;8514.062;8555.678;8826.408;9118.449;9071.066;9349.050;9651.434;9935.666;10148.458;10687.576;10963.657;11514.949;12075.684;12863.032;13784.354;14991.872;16458.569;17905.049;19207.572;18068.895;15177.791;11377.605;6525.953;2921.460;1059.047;283.441;65.134;21.883;19.163;16.094;14.640;15.044;14.974;13.235;13.090;12.522;11.811;11.566;11.336;10.888;9.756;10.248;10.083;9.637;10.638;9.951;8.895;9.471;8.527;9.687;9.589;8.328;8.230;8.215;7.344;7.459;7.250;8.065;8.110;7.028;8.995;6.241;8.273;7.862;5.763;7.008;17.671;6.079;6.862;6.216;7.250
4881.762;4755.360;4832.697;4891.597;4930.299;4931.832;4937.721;4984.840;4984.535;5043.824;5044.788;5053.640;5109.743;5083.152;5156.525;5208.697;5173.909;5275.879;5221.104;5245.275;5150.350;5398.394;5345.476;5380.432;5336.920;5375.409;5413.620;5403.656;5436.410;5587.156;5558.336;5434.260;5592.208;5618.203;5496.184;5665.586;5527.762;5667.784;5624.435;5675.343;5809.583;5692.329;5640.074;5891.834;5617.057;5834.655;5868.925;5923.410;5865.086;5891.879;5950.073;5970.800;5925.911;6012.085;6032.570;5998.226;6190.158;6074.230;6105.776;6106.840;6188.117;6241.214;6154.087;6332.225;6304.807;6312.323;6326.148;6354.509;6413.872;6403.369;6469.099;6561.978;6538.607;6615.727;6569.685;6741.855;6721.984;6733.030;6782.962;6798.216;6973.105;7047.841;7000.421;7073.927;7196.945;7093.765;7312.253;7350.816;7339.651;7485.006;7544.804;7627.113;7738.705;7868.017;7984.258;8143.729;8202.565;8309.924;8315.032;8754.208;8763.721;8984.455;9028.341;9518.523;9642.746;9953.867;10391.906;10769.133;11007.714;11641.712;12149.341;13100.485;14312.874;15241.656;16908.389;18423.162;18889.281;17246.224;14001.167;9119.828;4740.641;1846.269;513.722;107.817;25.986;15.062;14.337;13.925;11.485;12.068;11.275;10.558;10.547;9.861;9.697;9.753;8.979;9.748;8.216;8.716;8.213;7.644;7.714;6.773;7.706;6.542;7.496;6.997;7.057;6.659;6.300;5.808;6.843;4.990;6.111;5.749;5.434;5.488;5.074;4.440;4.784;4.893;4.295;4.387;4.784;4.330;4.796;4.348;4.166;3.417;4.286;3.791;2.526;3.411;3.723;1.401;4.169;4.328;3.279;4.250
4871.903;4744.170;4823.692;4880.926;4917.539;4918.322;4927.187;4975.729;4975.990;5039.842;5039.901;5048.957;5106.001;5085.375;5155.453;5211.987;5177.828;5277.017;5228.220;5253.168;5158.427;5417.324;5361.049;5389.859;5355.686;5398.860;5438.783;5432.024;5469.298;5618.884;5596.195;5471.343;5630.892;5661.855;5539.075;5722.395;5584.586;5732.811;5688.638;5741.314;5880.887;5772.114;5718.484;5978.624;5705.343;5932.097;5966.455;6030.937;5981.027;6010.816;6074.933;6107.547;6068.737;6157.869;6172.511;6160.057;6360.769;6254.586;6292.310;6307.652;6397.067;6463.413;6385.243;6579.710;6559.265;6579.649;6608.511;6644.551;6724.969;6734.649;6812.696;6929.069;6925.537;7024.895;7001.072;7205.710;7207.834;7246.924;7329.989;7378.921;7596.560;7712.284;7701.087;7821.474;8005.413;7936.806;8241.159;8344.102;8401.212;8649.945;8811.647;9009.465;9254.084;9552.522;9859.440;10242.075;10556.972;10971.916;11331.906;12369.100;12953.364;14043.273;15168.209;17307.072;18607.880;19017.192;17358.717;13275.103;7942.335;3722.669;1197.626;275.073;50.749;15.142;11.571;12.369;11.711;12.679;11.220;10.288;9.793;8.341;7.855;7.388;7.664;6.432;7.343;6.870;6.418;5.622;6.271;6.278;0.000;5.714;5.534;5.573;4.678;5.041;3.714;4.485;4.310;3.455;4.034;3.615;2.890;3.908;3.426;2.658;3.225;2.529;3.339;2.601;2.188;2.730;2.272;1.555;2.406;2.448;1.614;0.579;2.126;1.557;2.335;2.415;2.110;1.411;1.526;0.585;1.304;0.000;1.352;1.550;1.459;1.843;1.533;0.000;1.305;0.528;0.343;2.250
3174.156;3092.415;3149.611;3188.086;3206.607;3209.239;3228.748;3254.841;3245.601;3301.616;3294.942;3301.352;3346.171;3347.355;3372.825;3416.679;3407.351;3465.830;3417.316;3457.506;3386.627;3570.644;3532.072;3498.626;3522.560;3567.773;3592.972;3594.281;3609.932;3705.050;3705.095;3620.446;3714.274;3755.400;3665.427;3815.021;3702.841;3831.109;3796.724;3816.731;3930.504;3860.096;3822.930;4018.532;3806.579;3992.838;3990.891;4052.895;4034.929;4060.447;4101.947;4139.903;4115.380;4177.968;4091.760;4199.542;4331.166;4274.292;4316.664;4348.581;4402.187;4422.954;4430.324;4577.632;4566.681;4594.988;4637.555;4659.728;4747.711;4795.220;4852.728;4963.228;4984.933;5089.783;5097.231;5291.016;5328.312;5403.063;5511.046;5606.986;5830.775;5981.812;6071.278;6276.542;6532.711;6605.327;7037.126;7324.905;7650.861;8217.878;8837.481;9679.917;10820.167;12107.230;12778.193;11949.533;9163.741;5565.611;2388.868;737.052;110.243;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.338;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.354;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
1685.423;1644.332;1661.939;1678.596;1706.218;1703.941;1693.995;1717.177;1726.704;1736.616;1743.541;1751.566;1765.973;1742.687;1789.578;1801.230;1781.867;1832.121;1826.993;1816.744;1793.522;1872.568;1856.230;1929.825;1863.266;1869.891;1881.093;1878.877;1864.529;1965.085;1946.964;1908.067;1982.870;1973.810;1948.669;1984.689;1962.063;1989.592;1985.690;2025.359;2059.814;2024.108;2015.586;2094.531;2029.965;2081.419;2123.562;2135.337;2108.285;2126.205;2158.690;2163.712;2153.622;2195.112;2309.243;2199.412;2284.946;2241.433;2260.305;2256.962;2309.733;2366.521;2309.468;2385.624;2396.778;2413.734;2425.239;2467.204;2489.270;2489.222;2546.021;2600.208;2608.786;2665.357;2669.783;2760.985;2781.957;2819.154;2879.320;2918.847;3047.352;3140.284;3164.848;3257.756;3398.475;3453.932;3657.254;3817.095;3969.875;4253.622;4569.958;4986.747;5597.585;6252.075;6583.600;6167.901;4753.223;2892.520;1277.925;406.297;110.243;36.816;16.781;12.551;13.130;12.417;12.402;11.427;11.884;11.532;11.958;11.987;10.905;13.800;11.571;9.118;9.096;11.442;8.250;8.124;9.793;9.245;10.323;9.417;7.664;8.898;8.509;8.885;7.431;7.771;7.272;6.278;13.423;5.714;6.575;7.663;6.828;7.395;7.090;6.178;6.262;7.644;5.874;6.773;7.706;4.786;6.478;5.912;6.099;6.659;5.313;6.877;4.981;6.119;5.151;5.749;5.434;5.488;5.074;7.015;3.898;4.893;4.295;5.372;3.893;4.330;4.796;5.602;5.120;7.600;5.263;3.791;4.660;3.411;4.818;4.113;4.169;6.862;4.258;5.250
4855.142;4735.217;4807.482;4872.195;4911.159;4916.070;4927.997;4979.778;4980.262;5048.802;5050.654;5067.686;5125.648;5111.304;5185.468;5247.081;5218.583;5327.075;5280.400;5311.379;5219.001;5488.314;5438.050;5476.596;5443.589;5498.294;5547.551;5545.498;5593.970;5750.873;5740.243;5622.949;5796.179;5835.445;5726.439;5924.728;5787.840;5966.632;5927.108;5996.319;6159.393;6056.523;6015.460;6308.600;6028.254;6294.022;6347.057;6436.402;6403.550;6459.350;6550.590;6615.602;6595.513;6725.243;6743.742;6793.052;7043.212;6966.948;7053.692;7118.850;7262.434;7378.352;7364.354;7648.581;7694.307;7792.497;7908.504;8043.146;8240.567;8375.926;8598.771;8896.915;9064.566;9411.357;9602.714;10160.078;10507.159;10981.802;11623.478;12355.084;13604.852;15045.495;16749.765;18827.176;19622.868;16837.351;12056.572;6054.147;1942.929;389.635;50.061;12.393;14.309;10.864;10.916;11.911;11.265;8.540;8.437;8.952;9.341;9.395;6.775;8.762;6.279;7.732;8.050;7.644;6.710;5.876;6.721;6.683;6.711;5.748;4.852;5.866;5.609;5.257;5.280;5.240;3.531;3.816;4.154;3.331;4.000;2.733;3.846;2.839;3.378;3.474;3.269;3.710;0.000;2.949;3.452;2.438;2.527;3.864;2.589;2.793;2.358;1.361;3.113;2.562;1.686;3.030;1.391;1.573;2.267;0.465;2.352;1.532;2.188;0.471;2.272;1.555;1.396;1.435;2.768;0.579;2.126;1.557;1.356;0.444;2.110;1.411;2.616;0.585;1.304;0.000;1.352;2.670;0.391;1.843;0.438;0.000;0.350;0.000;0.343;1.250
4847.255;4734.098;4807.482;4872.195;4914.349;4923.951;4934.480;4987.877;4990.944;5066.722;5069.228;5088.756;5150.909;5138.716;5217.626;5282.176;5256.986;5374.857;5329.023;5362.684;5275.537;5552.678;5505.533;5553.905;5523.590;5584.595;5639.274;5646.561;5703.345;5865.094;5865.824;5756.013;5938.020;5990.764;5888.973;6102.158;5969.240;6167.248;6134.727;6218.337;6398.472;6310.896;6281.073;6605.063;6320.930;6621.147;6702.682;6814.985;6806.620;6894.782;7023.274;7123.657;7133.211;7309.363;7367.738;7473.248;7791.018;7774.472;7928.967;8075.189;8315.068;8550.345;8644.793;9111.290;9322.235;9630.493;10007.129;10451.972;11064.366;11689.448;12628.700;13968.983;15598.725;18066.105;19434.443;18365.506;13057.386;6451.061;1878.333;281.240;30.636;12.778;9.948;9.395;9.932;10.848;9.715;9.141;9.436;8.614;9.323;8.330;8.547;8.755;8.052;7.050;7.714;6.690;7.304;6.025;6.050;7.363;6.775;5.921;6.279;5.857;4.787;5.753;5.675;5.876;4.626;4.562;4.614;4.406;4.852;4.240;3.865;4.020;4.290;3.798;3.531;3.816;2.920;4.345;3.084;5.199;3.846;3.846;2.365;2.399;2.268;2.853;0.000;2.949;2.411;2.438;1.452;1.510;1.463;1.946;2.358;2.408;2.193;1.509;1.686;1.273;2.408;1.573;1.309;2.529;1.365;0.463;1.257;1.600;1.312;1.555;1.396;1.435;0.461;1.866;1.240;0.445;1.356;1.429;0.327;1.411;0.436;1.839;1.304;0.628;0.375;0.430;1.459;1.059;1.533;0.000;1.305;1.795;1.321;1.250
4834.438;4722.907;4793.974;4866.375;4906.906;4921.699;4932.859;4996.987;4995.216;5079.664;5083.891;5112.166;5171.491;5174.276;5250.856;5323.851;5302.443;5427.191;5382.390;5429.775;5340.150;5639.759;5594.646;5644.412;5626.309;5700.914;5764.276;5785.743;5851.727;6030.079;6040.344;5940.339;6134.957;6206.991;6112.456;6358.187;6230.411;6461.255;6449.907;6557.074;6772.610;6709.820;6700.565;7091.434;6814.367;7185.786;7300.941;7484.786;7528.723;7687.025;7892.339;8092.285;8189.284;8501.244;8673.082;8966.814;9525.929;9733.921;10182.621;10726.164;11491.696;12455.536;13489.162;15633.048;18056.946;19654.693;17552.676;11565.440;4928.187;1063.277;93.703;8.509;6.432;5.765;5.636;5.143;5.259;5.245;4.584;4.556;4.492;4.259;4.236;4.493;3.290;2.841;4.119;2.663;3.992;3.145;2.368;2.641;2.785;2.426;2.323;2.188;1.795;2.066;0.510;2.366;1.663;1.270;0.521;1.184;1.386;1.171;1.523;0.079;1.535;1.163;0.436;0.318;0.419;0.380;0.000;0.989;0.378;0.000;0.330;0.913;0.400;0.196;0.000;0.287;0.000;0.000;0.350;0.000;0.338;0.000;0.267;0.285;0.000;0.184;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.353;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2461.339;2406.422;2449.000;2488.637;2509.048;2520.202;2532.680;2562.436;2560.922;2610.707;2615.532;2632.977;2664.132;2676.891;2713.585;2756.461;2751.358;2818.490;2798.264;2832.970;2786.941;2950.666;2932.507;2949.923;2957.610;3009.630;3050.755;3072.125;3096.713;3211.362;3234.167;3189.625;3299.300;3361.522;3321.172;3478.837;3417.629;3575.843;3586.604;3664.490;3821.450;3815.980;3844.492;4115.635;3989.199;4277.332;4408.364;4599.489;4730.575;4958.524;5242.533;5586.197;5914.989;6532.178;7216.327;8485.535;10056.595;9599.787;6851.015;3090.694;601.667;22.535;0.385;0.397;0.468;0.520;0.450;0.614;0.000;0.300;0.000;0.485;0.000;0.492;0.512;0.439;0.419;0.433;0.000;0.414;0.469;0.000;0.000;0.000;0.443;0.000;0.000;0.504;0.363;0.410;1.374;0.203;0.000;0.316;0.414;0.000;0.612;0.216;1.642;0.171;0.567;0.000;0.521;0.000;0.000;0.000;0.000;0.079;0.000;0.000;0.000;0.318;0.000;0.000;0.373;0.176;0.378;0.000;0.330;0.192;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.254;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2376.550;2324.729;2355.345;2389.686;2416.537;2426.754;2427.338;2463.232;2470.130;2509.161;2513.865;2534.653;2562.153;2562.801;2609.608;2650.081;2636.931;2710.410;2695.089;2716.548;2678.917;2831.403;2813.113;2870.728;2843.040;2885.806;2924.130;2940.921;2959.804;3092.065;3099.353;3060.924;3176.214;3221.431;3190.243;3327.088;3282.126;3417.425;3432.350;3524.935;3657.031;3655.472;3685.713;3936.038;3835.605;4091.149;4231.147;4411.317;4519.703;4741.816;5015.605;5337.393;5653.701;6243.566;6966.270;8101.186;9605.695;9165.663;6542.517;2951.518;597.725;66.103;9.466;9.442;8.482;8.842;7.906;9.217;8.475;6.782;8.852;7.506;8.417;7.874;7.685;7.025;7.194;6.207;6.653;6.213;6.503;7.910;6.140;5.310;6.136;7.416;6.917;5.902;6.714;5.879;5.349;5.079;7.394;4.536;5.188;5.105;5.346;4.841;3.907;3.830;3.857;5.332;5.524;4.973;4.322;3.983;4.787;3.861;3.605;3.990;4.626;3.501;3.565;3.064;3.732;2.615;2.993;4.020;2.310;2.356;2.487;2.911;2.920;3.331;3.084;3.966;2.681;2.839;2.365;2.399;2.268;1.997;0.000;2.258;2.411;2.438;2.527;2.687;1.463;1.946;1.382;1.361;1.273;1.509;2.890;1.273;2.408;1.573;1.309;1.497;2.352;0.463;2.188;0.471;1.312;0.507;2.406;1.435;0.461;0.579;2.126;1.557;1.356;0.444;1.218;1.411;0.436;0.585;1.304;0.628;1.352;0.430;1.459;1.059;0.438;0.000;1.305;1.795;1.321;2.250
