file,z,energy,amp,x0_px,y0_px,sigma_x_px,sigma_y_px,theta_deg,offset,r2,rss,success,x0_mm,y0_mm,sigma_x_mm,sigma_y_mm
/home/bassler/temp/xrv/2025_0612_0006/00000001.tif,-100.0,244,39386.78726274832,1056.7246534673259,596.2164519528129,11.596797785783131,13.523734115463244,7.98334269187495,-103.23568142373182,0.9911842491117159,5758792231.884726,True,0.006805837932264202,0.0017792109899570487,3.2014128163049724,3.7293478519326153
/home/bassler/temp/xrv/2025_0612_0006/00000002.tif,-100.0,240,17729.83227724439,1057.257734460505,594.4111088235769,11.333289584883515,13.477162360572645,7.765299534018256,-53.79105974057856,0.9948195119819349,687286587.7624236,True,0.15396821458284268,-0.49606794154458433,3.1286687237421367,3.7165050769579584
/home/bassler/temp/xrv/2025_0612_0006/00000003.tif,-100.0,230,39757.82066428481,1058.0121577639609,596.1159905925715,11.818401796028883,13.712546453715033,7.9854594275569815,-240.08514891314508,0.9944186741307759,3940064156.8789797,True,0.3622343650510271,-0.025924332633408657,3.2625888350344754,3.7814153417298715
/home/bassler/temp/xrv/2025_0612_0006/00000004.tif,-100.0,220,39687.005417565786,1058.1262715078549,595.5285490504298,12.053031841953286,13.693806018473696,8.095929209564332,-241.2405775500883,0.9946599714865985,3817319606.3173532,True,0.3937366132549789,-0.187919077177912,3.3273608220939948,3.776247419814603
/home/bassler/temp/xrv/2025_0612_0006/00000005.tif,-100.0,210,40530.7610231025,1059.1060466009342,595.00098252325,12.414491169497616,13.839507426248208,8.762921931806751,-238.57708370191244,0.9948156728475671,3924156713.0906386,True,0.6642133946925057,-0.3334024975181566,3.427145309600711,3.816426502564103
/home/bassler/temp/xrv/2025_0612_0006/00000006.tif,-100.0,200,41830.32232664218,1059.0936038293323,595.4545697921045,12.70368672784646,13.931417898165876,10.678358927927913,-225.78012150089455,0.9951121323987778,3975198886.437813,True,0.6607784422847499,-0.20831983230718054,3.5069806558763417,3.841772026077786
/home/bassler/temp/xrv/2025_0612_0006/00000007.tif,-100.0,190,42394.32961805755,1059.0109733357622,595.7372360782001,12.882285215278857,14.208342096811759,9.503350044829958,-221.78700932105505,0.9956345012204286,3718925952.8028193,True,0.6379674623901634,-0.1303708799051165,3.556284566938731,3.9181375222159662
/home/bassler/temp/xrv/2025_0612_0006/00000008.tif,-100.0,180,20272.34887816781,1059.1477001560993,595.6360514461253,12.94974442732937,14.128353455440466,9.860896830195266,-73.43260381305632,0.9961236123045666,754261884.1766789,True,0.6757122780751007,-0.1582738752653512,3.5749073617848306,3.896079600540624
/home/bassler/temp/xrv/2025_0612_0006/00000009.tif,-100.0,170,21323.176951400652,1059.1880220222695,595.789849585615,13.095418832911562,14.249246443192018,9.662520708471824,-68.86639604651869,0.9964974145124466,759255064.7440355,True,0.6868435352996448,-0.11586201207430005,3.6151222484848615,3.9294174346281383
/home/bassler/temp/xrv/2025_0612_0006/00000010.tif,-100.0,160,22888.015282197004,1059.1561159006533,595.6285395136892,13.179337332564911,14.373081449776839,9.642360161658203,-58.67441736945908,0.9967540922585199,812216200.4660336,True,0.6780355291114264,-0.16034538960118822,3.6382887954298013,3.963566569168805
/home/bassler/temp/xrv/2025_0612_0006/00000011.tif,-100.0,150,49293.84326951356,1058.9592958929693,595.1763244841662,13.599468640056568,14.75980845181754,9.991026590776688,-154.64325553117348,0.9971538283943907,3387645740.517107,True,0.6237013838806451,-0.28504964173780617,3.7542702738672062,4.070211634949546
/home/bassler/temp/xrv/2025_0612_0006/00000012.tif,-100.0,140,24807.969124370873,1059.2000351046545,595.1534498406733,13.794941935521342,14.850416368859463,10.216256864333838,-45.76137137112548,0.9976668891419214,712349003.9869285,True,0.6901598676718319,-0.29135762604494264,3.8082326456275792,4.095197961795622
/home/bassler/temp/xrv/2025_0612_0006/00000013.tif,-100.0,130,26118.428969116816,1059.2162348706263,595.2923902955122,14.121054843792091,15.122929266025762,10.746342729185036,-46.73336762403838,0.9979759271456492,701204427.8480873,True,0.6946319762108683,-0.25304296514018665,3.8982593981316507,4.170346983433737
/home/bassler/temp/xrv/2025_0612_0006/00000014.tif,-100.0,120,26807.983316915204,1059.2825916724153,595.1883998737724,14.652652446755022,15.588122433594293,12.368105338386556,-38.909307777190065,0.9982503834206926,658623824.2378784,True,0.712950439602258,-0.2817196939656586,4.0450122699743325,4.298630128117997
/home/bassler/temp/xrv/2025_0612_0006/00000015.tif,-100.0,115,27315.479371965528,1059.2828901594244,595.5061411039042,14.864836859832963,15.78265438088693,12.05709651161857,-28.458526611876906,0.9983732653365023,645045724.3772871,True,0.7130328399470858,-0.1940983636477623,4.1035879140439935,4.352274875461746
/home/bassler/temp/xrv/2025_0612_0006/00000016.tif,-100.0,110,27871.956711066618,1059.4735728398107,595.0439333603231,14.94066043611485,16.025125355061956,9.864599007185724,-22.08197052266189,0.9985876863336376,591296119.3514551,True,0.7656727141703402,-0.32155823833575703,4.124519775870929,4.419139441045131
/home/bassler/temp/xrv/2025_0612_0006/00000017.tif,-100.0,105,28353.419946056085,1059.3111059676412,595.0945607816265,15.119864476950546,16.20401499052734,9.38968199462392,-5.696380699538096,0.9985584176424541,631819732.2397285,True,0.7208220979574734,-0.3075970599160524,4.173990856048627,4.468470614821538
/home/bassler/temp/xrv/2025_0612_0006/00000018.tif,-100.0,100,28907.363486207443,1059.2572279665926,595.0350161298842,15.418739982706292,16.418598399879823,9.574125095996624,4.823941449619731,0.9986937215498174,604713152.6258725,True,0.7059485331803675,-0.3240172821100991,4.256498449289502,4.527644816997993
