file,z,energy,amp,x0_px,y0_px,sigma_x_px,sigma_y_px,theta_deg,offset,r2,rss,success,x0_mm,y0_mm,sigma_x_mm,sigma_y_mm
../temp/xrv_tr1/2025_0318_0050/00000001.tif,-100.0,244,45641.44857969699,803.3445837925896,598.5839101001893,11.836211984859386,12.75751939553433,0.0,-66.73035262852638,0.9973474894570069,2139411005.8726723,True,-69.94131410319414,0.6546369854091713,3.2675055170216947,3.518054048350751
../temp/xrv_tr1/2025_0318_0050/00000002.tif,-100.0,240,43274.541607074396,803.2539144066948,598.1893990980003,12.229040731876566,13.090789538752096,0.0,-79.57911614847774,0.9968238540215889,2409295205.3597655,True,-69.966344300272,0.5458453790365584,3.375949848685006,3.609957681039102
../temp/xrv_tr1/2025_0318_0050/00000003.tif,-100.0,230,41269.80175921324,803.2911553216999,597.9526239423254,12.899416259211376,13.751094104128176,0.0,-99.92187860273529,0.9963281222223777,2734074337.013197,True,-69.95606357064382,0.48055151044463906,3.5610137641374164,3.7920453641806184
../temp/xrv_tr1/2025_0318_0050/00000004.tif,-100.0,220,17808.402439397494,803.369842048296,598.0969927621384,13.25334802378733,13.912850050960717,0.0,-23.601959720427374,0.9963674765061087,517766854.7470599,True,-69.93434130733878,0.5203631145074412,3.6587201920791,3.83665169758727
../temp/xrv_tr1/2025_0318_0050/00000005.tif,-100.0,210,18075.578813878077,803.5073635389265,598.2649080654747,13.548331965714606,14.016763860380435,0.0,-27.743619257022473,0.9966391576693436,503705691.3006898,True,-69.89637711491652,0.5666679716169941,3.7401534799344653,3.865307299556141
../temp/xrv_tr1/2025_0318_0050/00000006.tif,-100.0,200,41765.9197853952,803.4160124458549,597.9318823800603,13.93021575943181,14.210833534960916,0.0,-106.21030269058957,0.9971207236616763,2369709451.4644,True,-69.92159550412576,0.4748317513885406,3.8455763470162907,3.918824569109262
../temp/xrv_tr1/2025_0318_0050/00000007.tif,-100.0,190,42489.638057807264,803.2484572036375,598.5439213902495,14.199017171136843,14.347905477680921,0.0,-94.95995390233972,0.9972991669858535,2345156574.3135023,True,-69.96785081613366,0.6436095718085733,3.9197816837281483,3.956623963180355
../temp/xrv_tr1/2025_0318_0050/00000008.tif,-100.0,180,20098.83567556948,803.3295083106316,598.1639853699679,14.409564918054842,14.477758502979176,0.0,-23.260865028596953,0.9974293110746839,507325961.2096099,True,-69.94547584180887,0.5388372087162897,3.9779055096220306,3.9924326456661543
../temp/xrv_tr1/2025_0318_0050/00000009.tif,-100.0,170,43189.967231471695,803.4553683437233,598.4526588549459,14.836014351070606,14.987739431707295,0.0,-88.98318609954228,0.9976209848950813,2258656533.036214,True,-69.91073091217888,0.6184427253525163,4.095631170238131,4.133066605550367
../temp/xrv_tr1/2025_0318_0050/00000010.tif,-100.0,160,43390.19350566215,803.3878454401477,598.0297597601093,15.084799984482974,15.48640337430663,0.0,-68.8042267767891,0.997998998707077,1976178375.6360204,True,-69.92937128971191,0.5018227284309803,4.164310949779973,4.270579757412963
../temp/xrv_tr1/2025_0318_0050/00000011.tif,-100.0,150,43242.52942709532,803.5119194759221,597.9611923978189,15.356183455635623,16.05458408564737,0.0,-49.34026888321668,0.9982536794318209,1768199253.7147927,True,-69.89511940262751,0.4829143749328077,4.239229090005417,4.427263074110628
../temp/xrv_tr1/2025_0318_0050/00000012.tif,-100.0,140,21351.437004107756,803.5091320459334,597.7491757353687,15.669679791797645,16.47534281751149,0.0,-0.5873383247207826,0.9985594891258328,364911919.1026009,True,-69.89588890074721,0.4244479870304841,4.325772910721523,4.543292837744116
../temp/xrv_tr1/2025_0318_0050/00000013.tif,-100.0,130,40019.04915828558,803.5226711547824,597.8617122694615,16.2582161714636,17.232808391485054,0.0,4.665857257522731,0.9987136872144615,1195471068.5875313,True,-69.89215129340151,0.45548141892877786,4.488244305284784,4.75217394906242
../temp/xrv_tr1/2025_0318_0050/00000014.tif,-100.0,120,21461.86017602294,803.3527804457443,597.9991457191857,16.811888142931863,17.88537719477119,0.0,30.83602337096557,0.9989546241698951,289118682.7679584,True,-69.93905133454498,0.4933805033189825,4.6410910288570735,4.9321283938921745
../temp/xrv_tr1/2025_0318_0050/00000015.tif,-100.0,115,21531.529999669492,803.3609152684793,596.9166869740658,17.161148953830494,18.221678630385366,0.0,41.206284328184,0.9990123227525889,279813304.7881148,True,-69.93680563480586,0.1948782434067084,4.737507992996493,5.024867945394856
../temp/xrv_tr1/2025_0318_0050/00000016.tif,-100.0,110,21189.98045058983,803.3187338732873,597.2826733186854,17.671695984588677,18.699999129708985,0.0,49.14959858219289,0.9989984015885214,281245225.75304145,True,-69.94845023374357,0.2958037996540167,4.8784496423886585,5.1567711247577375
../temp/xrv_tr1/2025_0318_0050/00000017.tif,-100.0,105,21102.314943674693,803.2637114441735,597.5538495636486,18.036965053739003,19.098300636929828,0.0,67.30529885091755,0.9990481866046665,269316201.20742095,True,-69.96363972941325,0.3705842218372773,4.979285847432366,5.266608012831213
../temp/xrv_tr1/2025_0318_0050/00000018.tif,-100.0,100,20921.38530874356,803.3442636464976,597.2689093376556,18.59636304815968,19.651007066134497,0.0,70.79139449597541,0.9990584726559303,267263410.36621863,True,-69.94140248274694,0.292008200550303,5.133713297305566,5.4190240923626
../temp/xrv_tr1/2025_0318_0050/00000019.tif,-100.0,95,20709.67324565064,803.2742362234244,598.103624881064,19.114924968459043,20.19227685872702,0.0,94.15169729507855,0.9990788302675521,260491614.50687882,True,-69.96073425810944,0.5221920086765967,5.276867537670893,5.568286368675239
